squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arminia,20.0,40.3,8.0,88.0,720.0,4.0,2.0,0.0,0.0,13.0,1.0,0.5,0.25,0.75,0.5,0.75,6.6,6.6,4.6,0.83,0.58,1.41,0.83,1.41,8.0,8.0,720.0,11.0,1.37,37.0,28.0,75.7,0.0,5.0,3.0,2.0,25.0,2.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,12.0,0.28,1.0,0.12,123.0,244.0,50.4,358.0,24.0,53.4,45.1,79.0,67.1,55.2,76.0,7.0,9.2,8.0,1.0,17.2,90.0,25.0,3.0,27.8,11.25,3.12,0.04,0.16,0.08,-2.6,-2.6,2195.0,3069.0,71.5,49232.0,20014.0,735.0,894.0,82.2,957.0,1193.0,80.2,458.0,842.0,54.4,-2.6,60.0,182.0,49.0,12.0,204.0,2664.0,405.0,97.0,3.0,517.0,98.0,89.0,28.0,14.0,8.0,1.0,1655.0,476.0,938.0,796.0,1692.0,204.0,181.0,46.0,6.0,71.0,83.0,86.0,125.0,15.62,82.0,12.0,8.0,10.0,8.0,4.0,0.5,3.0,0.0,0.0,1.0,0.0,0.0,122.0,72.0,49.0,58.0,15.0,37.0,93.0,39.8,56.0,1299.0,366.0,28.2,344.0,615.0,340.0,119.0,33.0,0.0,86.0,125.0,196.0,5.0,3980.0,579.0,1564.0,1617.0,995.0,147.0,3584.0,79.0,135.0,58.5,84.0,5.0,2191.0,10999.0,5807.0,210.0,58.0,18.0,2773.0,2195.0,79.2,97.0,91.0,1.0,108.0,75.0,9.0,0.0,2.0,0.0,681.0,190.0,223.0,46.0
Augsburg,24.0,39.1,8.0,88.0,720.0,4.0,2.0,0.0,0.0,14.0,0.0,0.5,0.25,0.75,0.5,0.75,5.9,5.9,3.5,0.74,0.44,1.18,0.74,1.18,8.0,8.0,720.0,14.0,1.75,34.0,22.0,64.7,1.0,3.0,4.0,3.0,37.5,2.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,11.5,0.3,-0.5,-0.06,59.0,154.0,38.3,208.0,33.0,47.1,40.6,69.0,81.2,59.7,61.0,5.0,8.2,7.0,0.88,13.8,75.0,23.0,2.0,30.7,9.37,2.87,0.05,0.17,0.08,-1.9,-1.9,2023.0,2891.0,70.0,44431.0,16924.0,701.0,858.0,81.7,865.0,1097.0,78.9,424.0,813.0,52.2,-1.5,49.0,156.0,49.0,13.0,167.0,2465.0,426.0,88.0,1.0,483.0,112.0,90.0,32.0,12.0,17.0,0.0,1526.0,519.0,846.0,617.0,1732.0,151.0,215.0,55.0,22.0,78.0,112.0,94.0,95.0,11.87,58.0,17.0,2.0,7.0,6.0,4.0,0.5,1.0,1.0,0.0,2.0,0.0,0.0,132.0,82.0,57.0,56.0,19.0,41.0,118.0,34.7,77.0,1160.0,381.0,32.8,411.0,532.0,217.0,148.0,34.0,1.0,114.0,106.0,196.0,0.0,3865.0,514.0,1546.0,1644.0,899.0,160.0,3454.0,68.0,120.0,56.7,70.0,3.0,2172.0,11730.0,5886.0,176.0,57.0,19.0,2708.0,2023.0,74.7,113.0,94.0,0.0,92.0,78.0,23.0,0.0,2.0,2.0,705.0,167.0,168.0,49.9
Bayern Munich,22.0,62.6,8.0,88.0,720.0,27.0,20.0,1.0,1.0,5.0,1.0,3.38,2.5,5.87,3.25,5.75,23.9,23.1,18.4,2.99,2.3,5.29,2.89,5.19,8.0,8.0,720.0,8.0,1.0,28.0,20.0,71.4,6.0,1.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,6.2,0.22,-1.8,-0.22,54.0,89.0,60.7,327.0,63.0,24.8,30.3,43.0,18.6,28.3,58.0,4.0,6.9,20.0,2.5,22.2,156.0,66.0,3.0,42.3,19.5,8.25,0.17,0.39,0.16,3.1,2.9,4503.0,5324.0,84.6,84853.0,28727.0,1872.0,2088.0,89.7,1964.0,2203.0,89.2,580.0,828.0,70.0,1.6,121.0,336.0,111.0,16.0,443.0,4953.0,371.0,91.0,13.0,741.0,126.0,114.0,47.0,27.0,13.0,0.0,3967.0,654.0,703.0,1571.0,3274.0,147.0,174.0,97.0,11.0,64.0,172.0,98.0,250.0,31.25,189.0,20.0,12.0,14.0,7.0,45.0,5.63,33.0,5.0,1.0,4.0,1.0,1.0,158.0,92.0,65.0,66.0,27.0,63.0,135.0,46.7,72.0,1129.0,381.0,33.7,301.0,510.0,318.0,103.0,9.0,0.0,94.0,128.0,110.0,2.0,6285.0,521.0,1909.0,3038.0,1785.0,314.0,5929.0,105.0,173.0,60.7,111.0,11.0,4276.0,22471.0,12650.0,506.0,173.0,53.0,5171.0,4503.0,87.1,129.0,92.0,0.0,68.0,71.0,13.0,0.0,0.0,0.0,777.0,114.0,102.0,52.8
Bochum,24.0,41.9,8.0,88.0,720.0,5.0,4.0,0.0,0.0,15.0,1.0,0.62,0.5,1.13,0.62,1.13,8.3,8.3,6.4,1.03,0.8,1.83,1.03,1.83,8.0,8.0,720.0,16.0,2.0,47.0,32.0,66.0,2.0,1.0,5.0,3.0,37.5,1.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,15.6,0.35,0.6,0.08,132.0,295.0,44.7,326.0,20.0,71.2,51.2,73.0,86.3,58.6,78.0,8.0,10.3,18.0,2.25,18.4,86.0,21.0,7.0,24.4,10.75,2.62,0.06,0.24,0.1,-3.3,-3.3,2112.0,3000.0,70.4,48284.0,18277.0,737.0,925.0,79.7,824.0,1019.0,80.9,505.0,930.0,54.3,-2.4,56.0,172.0,41.0,17.0,159.0,2579.0,421.0,103.0,2.0,471.0,125.0,105.0,31.0,15.0,9.0,0.0,1502.0,489.0,1009.0,881.0,1555.0,172.0,190.0,53.0,18.0,81.0,126.0,90.0,119.0,14.87,84.0,9.0,9.0,4.0,10.0,9.0,1.13,5.0,1.0,1.0,1.0,1.0,0.0,144.0,90.0,69.0,49.0,26.0,53.0,143.0,37.1,90.0,1207.0,364.0,30.2,412.0,520.0,275.0,124.0,28.0,3.0,96.0,150.0,196.0,3.0,3989.0,566.0,1493.0,1651.0,1053.0,132.0,3570.0,68.0,128.0,53.1,73.0,8.0,2147.0,11370.0,5976.0,221.0,75.0,24.0,2728.0,2112.0,77.4,101.0,73.0,0.0,107.0,94.0,20.0,0.0,0.0,1.0,690.0,153.0,155.0,49.7
Dortmund,25.0,62.5,8.0,88.0,720.0,20.0,12.0,3.0,3.0,18.0,1.0,2.5,1.5,4.0,2.12,3.62,16.9,14.6,11.7,2.11,1.46,3.57,1.83,3.29,8.0,8.0,720.0,14.0,1.75,30.0,18.0,56.7,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,4.0,1.0,12.6,0.39,-0.4,-0.05,32.0,81.0,39.5,248.0,27.0,25.8,30.5,41.0,41.5,36.3,48.0,5.0,10.4,9.0,1.13,16.3,115.0,39.0,4.0,33.9,14.37,4.87,0.15,0.44,0.13,3.1,2.4,4297.0,5076.0,84.7,81477.0,26101.0,1739.0,1941.0,89.6,1892.0,2100.0,90.1,572.0,822.0,69.6,0.3,87.0,285.0,88.0,19.0,366.0,4670.0,406.0,116.0,6.0,726.0,116.0,84.0,41.0,13.0,17.0,2.0,3823.0,555.0,698.0,1302.0,3320.0,145.0,186.0,50.0,12.0,58.0,139.0,125.0,194.0,24.25,142.0,18.0,8.0,11.0,12.0,32.0,4.0,22.0,0.0,2.0,2.0,4.0,2.0,140.0,98.0,57.0,71.0,12.0,53.0,113.0,46.9,60.0,1070.0,403.0,37.7,310.0,501.0,259.0,115.0,20.0,0.0,95.0,97.0,149.0,0.0,6064.0,563.0,1902.0,3067.0,1465.0,243.0,5678.0,80.0,153.0,52.3,90.0,2.0,4008.0,19482.0,10280.0,431.0,117.0,33.0,4863.0,4297.0,88.4,119.0,100.0,1.0,81.0,104.0,15.0,2.0,1.0,1.0,745.0,120.0,110.0,52.2
Eint Frankfurt,23.0,49.8,8.0,88.0,720.0,8.0,7.0,1.0,1.0,17.0,0.0,1.0,0.87,1.87,0.87,1.75,10.3,9.5,7.3,1.29,0.91,2.2,1.19,2.1,8.0,8.0,720.0,12.0,1.5,38.0,26.0,68.4,1.0,5.0,2.0,1.0,12.5,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,11.9,0.32,-0.1,-0.01,56.0,158.0,35.4,228.0,31.0,50.4,38.8,71.0,60.6,49.9,63.0,1.0,1.6,11.0,1.38,16.5,90.0,27.0,3.0,30.0,11.25,3.38,0.08,0.26,0.11,-2.3,-2.5,2780.0,3755.0,74.0,56265.0,21069.0,1065.0,1274.0,83.6,1231.0,1513.0,81.4,437.0,825.0,53.0,-0.3,64.0,202.0,55.0,16.0,277.0,3325.0,430.0,110.0,4.0,609.0,101.0,114.0,37.0,19.0,14.0,1.0,2325.0,581.0,849.0,1430.0,1776.0,165.0,192.0,54.0,9.0,85.0,162.0,105.0,135.0,16.88,98.0,15.0,3.0,8.0,7.0,13.0,1.62,9.0,1.0,0.0,1.0,1.0,1.0,157.0,101.0,69.0,64.0,24.0,51.0,139.0,36.7,88.0,1217.0,380.0,31.2,359.0,521.0,337.0,124.0,24.0,1.0,100.0,127.0,185.0,2.0,4761.0,535.0,1569.0,2290.0,1145.0,172.0,4344.0,60.0,124.0,48.4,70.0,8.0,2739.0,12888.0,6583.0,276.0,82.0,31.0,3462.0,2780.0,80.3,121.0,90.0,0.0,105.0,81.0,9.0,1.0,0.0,0.0,777.0,186.0,197.0,48.6
Freiburg,23.0,49.1,8.0,88.0,720.0,11.0,6.0,1.0,1.0,8.0,0.0,1.37,0.75,2.12,1.25,2.0,10.4,9.6,7.7,1.3,0.97,2.27,1.2,2.17,8.0,8.0,720.0,6.0,0.75,28.0,24.0,82.1,4.0,4.0,0.0,3.0,37.5,1.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.6,0.28,3.6,0.45,70.0,178.0,39.3,263.0,36.0,46.8,43.3,71.0,77.5,64.5,69.0,5.0,7.2,8.0,1.0,16.3,101.0,36.0,3.0,35.6,12.62,4.5,0.1,0.28,0.1,0.6,0.4,2570.0,3397.0,75.7,55447.0,20833.0,891.0,1069.0,83.3,1138.0,1330.0,85.6,488.0,840.0,58.1,-1.7,71.0,170.0,53.0,25.0,203.0,2996.0,401.0,120.0,2.0,662.0,113.0,90.0,44.0,33.0,3.0,1.0,2065.0,480.0,852.0,958.0,1962.0,144.0,153.0,53.0,13.0,80.0,82.0,107.0,147.0,18.37,97.0,22.0,3.0,12.0,11.0,18.0,2.25,12.0,1.0,1.0,3.0,1.0,0.0,129.0,73.0,55.0,53.0,21.0,66.0,143.0,46.2,77.0,1075.0,335.0,31.2,347.0,488.0,240.0,117.0,32.0,0.0,85.0,117.0,252.0,2.0,4390.0,625.0,1695.0,1976.0,992.0,174.0,3995.0,50.0,90.0,55.6,53.0,3.0,2567.0,13211.0,7153.0,232.0,78.0,18.0,3161.0,2570.0,81.3,108.0,77.0,0.0,103.0,113.0,16.0,0.0,1.0,1.0,683.0,181.0,173.0,51.1
Greuther Fürth,24.0,42.8,8.0,88.0,720.0,5.0,3.0,2.0,2.0,18.0,0.0,0.62,0.37,1.0,0.37,0.75,8.3,7.0,5.3,1.04,0.66,1.71,0.87,1.53,8.0,8.0,720.0,20.0,2.5,45.0,27.0,57.8,0.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,4.0,2.0,16.3,0.37,-1.7,-0.21,74.0,190.0,38.9,241.0,29.0,58.5,47.2,63.0,77.8,57.8,74.0,4.0,5.4,11.0,1.38,17.0,82.0,26.0,2.0,31.7,10.25,3.25,0.04,0.12,0.09,-3.3,-4.0,2243.0,3057.0,73.4,47160.0,18130.0,839.0,980.0,85.6,929.0,1119.0,83.0,414.0,791.0,52.3,-2.3,62.0,178.0,46.0,14.0,211.0,2639.0,418.0,126.0,4.0,482.0,62.0,78.0,29.0,13.0,14.0,0.0,1795.0,450.0,812.0,870.0,1690.0,166.0,172.0,37.0,14.0,73.0,109.0,88.0,129.0,16.12,88.0,15.0,6.0,5.0,10.0,7.0,0.87,5.0,0.0,0.0,1.0,1.0,0.0,149.0,88.0,65.0,61.0,23.0,59.0,146.0,40.4,87.0,1207.0,361.0,29.9,368.0,558.0,281.0,123.0,32.0,0.0,91.0,104.0,211.0,1.0,4059.0,536.0,1500.0,1757.0,992.0,155.0,3652.0,60.0,120.0,50.0,63.0,7.0,2198.0,11056.0,5543.0,189.0,50.0,22.0,2851.0,2243.0,78.7,112.0,75.0,0.0,117.0,106.0,14.0,1.0,1.0,2.0,663.0,154.0,198.0,43.8
Hertha BSC,27.0,41.8,8.0,88.0,720.0,9.0,7.0,1.0,1.0,15.0,0.0,1.13,0.87,2.0,1.0,1.87,8.7,7.9,4.8,1.08,0.6,1.68,0.99,1.59,8.0,8.0,720.0,21.0,2.62,40.0,21.0,55.0,3.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,3.0,0.0,19.2,0.43,-1.8,-0.23,52.0,135.0,38.5,204.0,45.0,39.2,35.9,78.0,70.5,53.4,94.0,2.0,2.1,4.0,0.5,12.8,78.0,30.0,5.0,38.5,9.75,3.75,0.1,0.27,0.11,0.3,0.1,2272.0,3020.0,75.2,47711.0,18055.0,798.0,979.0,81.5,1012.0,1197.0,84.5,426.0,736.0,57.9,2.2,52.0,117.0,35.0,9.0,190.0,2612.0,408.0,110.0,4.0,552.0,92.0,58.0,32.0,12.0,17.0,1.0,1775.0,476.0,769.0,752.0,1778.0,169.0,160.0,65.0,16.0,61.0,102.0,67.0,121.0,15.12,75.0,18.0,5.0,8.0,11.0,14.0,1.75,8.0,2.0,0.0,1.0,1.0,2.0,128.0,79.0,72.0,49.0,7.0,51.0,131.0,38.9,80.0,1269.0,360.0,28.4,481.0,584.0,204.0,144.0,27.0,1.0,117.0,114.0,242.0,1.0,4073.0,653.0,1853.0,1741.0,718.0,116.0,3682.0,62.0,135.0,45.9,69.0,6.0,2217.0,10980.0,5644.0,197.0,66.0,22.0,2848.0,2272.0,79.8,100.0,100.0,0.0,111.0,98.0,18.0,1.0,3.0,0.0,627.0,166.0,166.0,50.0
Hoffenheim,22.0,55.4,8.0,88.0,720.0,17.0,13.0,0.0,0.0,13.0,0.0,2.12,1.62,3.75,2.12,3.75,15.3,15.3,11.4,1.91,1.42,3.33,1.91,3.33,8.0,8.0,720.0,11.0,1.37,37.0,26.0,70.3,3.0,2.0,3.0,3.0,37.5,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,12.5,0.37,1.5,0.18,44.0,126.0,34.9,305.0,49.0,33.8,33.6,66.0,34.8,32.2,63.0,5.0,7.9,10.0,1.25,14.5,98.0,35.0,5.0,35.7,12.25,4.37,0.17,0.49,0.16,1.7,1.7,3361.0,4181.0,80.4,67587.0,22637.0,1270.0,1455.0,87.3,1475.0,1692.0,87.2,544.0,859.0,63.3,1.6,68.0,225.0,62.0,29.0,258.0,3748.0,433.0,107.0,6.0,711.0,129.0,110.0,40.0,21.0,5.0,2.0,2722.0,634.0,825.0,996.0,2636.0,187.0,197.0,75.0,11.0,73.0,104.0,119.0,152.0,19.0,107.0,12.0,12.0,9.0,7.0,30.0,3.75,23.0,0.0,3.0,4.0,0.0,0.0,137.0,85.0,62.0,56.0,19.0,56.0,121.0,46.3,65.0,1045.0,318.0,30.4,337.0,486.0,222.0,106.0,19.0,0.0,87.0,99.0,186.0,2.0,5081.0,645.0,1859.0,2326.0,1166.0,190.0,4662.0,67.0,117.0,57.3,76.0,8.0,3042.0,16038.0,8394.0,300.0,73.0,33.0,3944.0,3361.0,85.2,115.0,69.0,0.0,86.0,84.0,12.0,0.0,0.0,0.0,609.0,135.0,177.0,43.3
