player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Yunis Abdelhamid,ma MAR,DF,Reims,34-020,1987,10.0,10.0,900.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.04,0.01,0.05,0.04,0.05,/en/players/32c2d95f/matchlogs/2021-2022/summary/Yunis-Abdelhamid-Match-Logs,10.0,8.0,2.0,0.0,25.0,0.8,0.2,0.0,0.0,0.05,-0.4,-0.4,389.0,469.0,82.9,8634.0,2797.0,100.0,113.0,88.5,225.0,251.0,89.6,63.0,92.0,68.5,-0.1,2.0,23.0,2.0,0.0,29.0,431.0,38.0,31.0,0.0,49.0,24.0,1.0,0.0,0.0,0.0,0.0,346.0,41.0,82.0,300.0,140.0,10.0,7.0,2.0,0.0,7.0,12.0,10.0,4.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,10.0,3.0,1.0,2.0,5.0,40.0,3.0,127.0,47.0,37.0,76.0,46.0,5.0,16.0,8.0,0.0,8.0,31.0,31.0,0.0,567.0,63.0,311.0,272.0,32.0,13.0,532.0,6.0,10.0,60.0,6.0,0.0,368.0,2146.0,1201.0,29.0,7.0,0.0,382.0,370.0,96.9,0.0,4.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,63.0,22.0,18.0,55.0
Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-206,2000,9.0,8.0,726.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.03,0.0,0.03,/en/players/82464ce3/matchlogs/2021-2022/summary/Salis-Abdul-Samed-Match-Logs,8.1,1.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.0,558.0,583.0,95.7,10832.0,1781.0,204.0,214.0,95.3,272.0,279.0,97.5,76.0,81.0,93.8,-0.2,3.0,22.0,2.0,0.0,15.0,578.0,5.0,5.0,0.0,67.0,11.0,0.0,0.0,0.0,0.0,0.0,522.0,35.0,26.0,52.0,507.0,13.0,0.0,4.0,0.0,3.0,7.0,4.0,6.0,0.74,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,10.0,9.0,1.0,7.0,24.0,29.2,17.0,173.0,59.0,34.1,69.0,91.0,13.0,8.0,1.0,0.0,7.0,15.0,6.0,0.0,656.0,28.0,242.0,395.0,58.0,2.0,652.0,6.0,9.0,66.7,6.0,0.0,535.0,2233.0,848.0,17.0,4.0,0.0,555.0,529.0,95.3,4.0,11.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,55.0,8.0,6.0,57.1
Laurent Abergel,fr FRA,MF,Lorient,28-259,1993,9.0,9.0,810.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.11,0.11,0.0,0.11,1.1,1.1,1.5,0.12,0.16,0.28,0.12,0.28,/en/players/31626657/matchlogs/2021-2022/summary/Laurent-Abergel-Match-Logs,9.0,9.0,4.0,0.0,44.4,1.0,0.44,0.0,0.0,0.12,-1.1,-1.1,336.0,418.0,80.4,6559.0,1732.0,137.0,151.0,90.7,146.0,169.0,86.4,50.0,74.0,67.6,-0.5,9.0,27.0,6.0,2.0,38.0,418.0,0.0,0.0,2.0,91.0,14.0,5.0,0.0,0.0,0.0,0.0,323.0,51.0,44.0,41.0,371.0,5.0,0.0,0.0,1.0,4.0,11.0,21.0,17.0,1.89,13.0,0.0,0.0,0.0,3.0,2.0,0.22,1.0,0.0,0.0,0.0,1.0,0.0,35.0,22.0,18.0,14.0,3.0,19.0,43.0,44.2,24.0,245.0,81.0,33.1,93.0,132.0,20.0,17.0,1.0,0.0,16.0,20.0,4.0,0.0,529.0,6.0,137.0,338.0,98.0,2.0,529.0,14.0,20.0,70.0,14.0,2.0,390.0,1614.0,866.0,32.0,10.0,1.0,389.0,358.0,92.0,6.0,14.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,91.0,1.0,5.0,16.7
Charles Abi,fr FRA,FW,Saint-Étienne,21-189,2000,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/players/469d3d84/matchlogs/2021-2022/summary/Charles-Abi-Match-Logs,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,24.0,0.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,7.1,0.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,59.0,9.0,0.0,1.0,0.0,12.0,8.0,66.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Matthis Abline,fr FRA,FW,Rennes,18-204,2003,7.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.03,0.32,0.3,0.32,/en/players/bbe96b16/matchlogs/2021-2022/summary/Matthis-Abline-Match-Logs,1.1,2.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.17,-0.3,-0.3,8.0,10.0,80.0,100.0,22.0,4.0,6.0,66.7,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,4.0,15.4,4.0,14.0,8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,2.0,2.0,11.0,12.0,3.0,25.0,1.0,2.0,50.0,1.0,0.0,18.0,68.0,35.0,3.0,0.0,0.0,39.0,13.0,33.3,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,21-081,2000,10.0,6.0,565.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,0.6,0.6,1.9,0.1,0.31,0.4,0.1,0.4,/en/players/26777636/matchlogs/2021-2022/summary/Yacine-Adli-Match-Logs,6.3,6.0,2.0,1.0,33.3,0.96,0.32,0.0,0.0,0.1,-0.6,-0.6,234.0,315.0,74.3,5297.0,1440.0,85.0,95.0,89.5,87.0,109.0,79.8,58.0,97.0,59.8,0.1,17.0,29.0,6.0,2.0,26.0,279.0,36.0,20.0,1.0,49.0,32.0,9.0,14.0,6.0,4.0,1.0,193.0,40.0,82.0,36.0,269.0,5.0,2.0,0.0,1.0,8.0,12.0,12.0,27.0,4.3,18.0,7.0,0.0,0.0,2.0,3.0,0.48,3.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,4.0,0.0,1.0,15.0,6.7,14.0,133.0,32.0,24.1,32.0,70.0,31.0,7.0,1.0,0.0,6.0,7.0,5.0,0.0,387.0,9.0,52.0,231.0,130.0,11.0,356.0,14.0,23.0,60.9,15.0,2.0,278.0,1341.0,590.0,32.0,8.0,1.0,322.0,279.0,86.6,10.0,20.0,0.0,3.0,7.0,2.0,0.0,0.0,0.0,39.0,3.0,8.0,27.3
Lucien Agoume,fr FRA,MF,Brest,19-251,2002,5.0,5.0,384.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06,/en/players/8bc8829a/matchlogs/2021-2022/summary/Lucien-Agoume-Match-Logs,4.3,1.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.11,-0.1,-0.1,185.0,206.0,89.8,3895.0,822.0,59.0,64.0,92.2,81.0,87.0,93.1,44.0,50.0,88.0,-0.1,3.0,11.0,5.0,0.0,15.0,200.0,6.0,5.0,0.0,38.0,11.0,0.0,1.0,0.0,0.0,1.0,160.0,25.0,21.0,21.0,173.0,7.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0,0.94,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,2.0,2.0,3.0,5.0,60.0,2.0,57.0,12.0,21.1,20.0,24.0,13.0,2.0,1.0,0.0,1.0,7.0,2.0,0.0,240.0,8.0,71.0,138.0,43.0,5.0,235.0,4.0,10.0,40.0,5.0,2.0,179.0,912.0,499.0,15.0,0.0,1.0,186.0,179.0,96.2,3.0,6.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,33.0,3.0,7.0,30.0
Nayef Aguerd,ma MAR,DF,Rennes,25-202,1996,10.0,10.0,900.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.05,0.0,0.05,0.05,0.05,/en/players/288e1e13/matchlogs/2021-2022/summary/Nayef-Aguerd-Match-Logs,10.0,5.0,1.0,0.0,20.0,0.5,0.1,0.0,0.0,0.09,-0.5,-0.5,666.0,720.0,92.5,14583.0,4514.0,170.0,176.0,96.6,366.0,377.0,97.1,126.0,159.0,79.2,0.0,0.0,20.0,0.0,0.0,22.0,703.0,17.0,14.0,0.0,43.0,23.0,1.0,0.0,0.0,0.0,0.0,627.0,28.0,65.0,622.0,69.0,14.0,3.0,2.0,1.0,5.0,11.0,4.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,55.0,20.0,36.4,34.0,19.0,2.0,12.0,7.0,0.0,5.0,16.0,59.0,1.0,825.0,119.0,447.0,416.0,17.0,9.0,808.0,3.0,3.0,100.0,3.0,0.0,604.0,2949.0,1592.0,17.0,2.0,0.0,646.0,638.0,98.8,1.0,4.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,62.0,31.0,8.0,79.5
Ruben Aguilar,fr FRA,DF,Monaco,28-175,1993,8.0,5.0,536.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.04,0.0,0.04,/en/players/3dd738a1/matchlogs/2021-2022/summary/Ruben-Aguilar-Match-Logs,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,476.0,88.0,7597.0,2670.0,188.0,204.0,92.2,192.0,210.0,91.4,37.0,54.0,68.5,-0.2,4.0,39.0,7.0,2.0,40.0,393.0,83.0,5.0,0.0,46.0,6.0,12.0,1.0,0.0,1.0,0.0,308.0,108.0,60.0,6.0,375.0,12.0,77.0,3.0,3.0,7.0,13.0,7.0,4.0,0.67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,11.0,17.0,4.0,21.0,28.0,75.0,7.0,114.0,41.0,36.0,49.0,53.0,12.0,7.0,1.0,0.0,6.0,12.0,21.0,0.0,554.0,22.0,123.0,315.0,144.0,7.0,474.0,4.0,4.0,100.0,4.0,0.0,342.0,1425.0,854.0,48.0,15.0,1.0,355.0,342.0,96.3,3.0,4.0,0.0,11.0,7.0,1.0,0.0,0.0,1.0,47.0,8.0,8.0,50.0
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27-212,1994,8.0,5.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.01,0.05,0.06,0.01,0.06,/en/players/48b28bfd/matchlogs/2021-2022/summary/Jean-Eudes-Aholou-Match-Logs,4.1,3.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.02,-0.1,-0.1,140.0,163.0,85.9,2444.0,314.0,55.0,59.0,93.2,68.0,74.0,91.9,15.0,26.0,57.7,-0.2,1.0,6.0,1.0,0.0,7.0,156.0,7.0,7.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,137.0,13.0,13.0,121.0,38.0,3.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,4.0,7.0,57.1,3.0,75.0,11.0,14.7,28.0,44.0,3.0,4.0,1.0,0.0,3.0,11.0,9.0,0.0,205.0,10.0,54.0,147.0,15.0,0.0,199.0,2.0,6.0,33.3,3.0,1.0,135.0,597.0,297.0,12.0,3.0,0.0,138.0,129.0,93.5,3.0,3.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,36.0,2.0,2.0,50.0
