squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,26.0,45.1,7.0,77.0,630.0,5.0,3.0,0.0,0.0,11.0,1.0,0.71,0.43,1.14,0.71,1.14,7.4,7.4,4.9,1.06,0.7,1.76,1.06,1.76,7.0,7.0,630.0,10.0,1.43,28.0,16.0,64.3,3.0,1.0,3.0,3.0,42.9,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,8.8,0.32,-1.2,-0.17,36.0,114.0,31.6,172.0,37.0,37.2,35.8,66.0,75.8,56.0,76.0,5.0,6.6,3.0,0.43,14.8,94.0,25.0,4.0,26.6,13.43,3.57,0.05,0.2,0.08,-2.4,-2.4,2439.0,3012.0,81.0,46092.0,15276.0,1029.0,1150.0,89.5,1042.0,1192.0,87.4,317.0,561.0,56.5,-1.9,74.0,170.0,60.0,13.0,192.0,2712.0,300.0,70.0,4.0,457.0,75.0,65.0,34.0,6.0,14.0,6.0,2010.0,407.0,595.0,1281.0,1364.0,125.0,112.0,49.0,15.0,47.0,73.0,58.0,160.0,22.86,115.0,17.0,8.0,8.0,8.0,9.0,1.29,7.0,0.0,0.0,1.0,1.0,0.0,98.0,52.0,48.0,33.0,17.0,34.0,84.0,40.5,50.0,905.0,224.0,24.8,312.0,342.0,251.0,141.0,42.0,0.0,99.0,107.0,150.0,4.0,3879.0,514.0,1389.0,1660.0,1073.0,177.0,3585.0,54.0,109.0,49.5,61.0,2.0,2400.0,12229.0,6664.0,259.0,87.0,34.0,2798.0,2439.0,87.2,90.0,68.0,0.0,59.0,60.0,16.0,0.0,0.0,0.0,523.0,122.0,116.0,51.3
Aston Villa,23.0,48.4,8.0,88.0,720.0,11.0,8.0,2.0,2.0,17.0,0.0,1.37,1.0,2.37,1.13,2.12,9.0,7.6,5.5,1.12,0.68,1.81,0.95,1.63,8.0,8.0,720.0,12.0,1.5,30.0,19.0,60.0,3.0,1.0,4.0,3.0,37.5,1.0,0.0,0.0,1.0,8.0,1.0,3.0,1.0,9.4,0.32,-1.6,-0.2,49.0,131.0,37.4,212.0,33.0,44.3,39.2,69.0,53.6,44.0,55.0,5.0,9.1,11.0,1.38,17.1,94.0,27.0,3.0,28.7,11.75,3.38,0.1,0.33,0.08,2.0,1.4,2349.0,3133.0,75.0,50147.0,18166.0,798.0,938.0,85.1,1076.0,1265.0,85.1,439.0,818.0,53.7,2.5,62.0,199.0,66.0,16.0,250.0,2742.0,391.0,115.0,5.0,454.0,135.0,121.0,45.0,31.0,10.0,2.0,1877.0,461.0,795.0,1062.0,1631.0,163.0,142.0,48.0,11.0,76.0,97.0,78.0,135.0,16.88,85.0,18.0,12.0,8.0,10.0,19.0,2.37,12.0,3.0,1.0,2.0,1.0,0.0,109.0,63.0,42.0,53.0,14.0,38.0,124.0,30.6,86.0,1060.0,282.0,26.6,317.0,489.0,254.0,121.0,39.0,1.0,82.0,132.0,150.0,2.0,4047.0,501.0,1366.0,1809.0,1115.0,202.0,3664.0,74.0,124.0,59.7,78.0,5.0,2356.0,11490.0,6063.0,239.0,82.0,24.0,2945.0,2349.0,79.8,107.0,74.0,0.0,89.0,105.0,12.0,1.0,1.0,1.0,653.0,133.0,164.0,44.8
Brentford,20.0,41.4,8.0,88.0,720.0,10.0,4.0,1.0,1.0,16.0,1.0,1.25,0.5,1.75,1.13,1.62,11.1,10.4,6.9,1.39,0.86,2.25,1.29,2.16,8.0,8.0,720.0,7.0,0.87,23.0,16.0,69.6,3.0,3.0,2.0,3.0,37.5,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,7.0,0.3,0.0,0.0,75.0,208.0,36.1,300.0,43.0,51.0,42.6,71.0,77.5,55.8,71.0,9.0,12.7,11.0,1.38,15.5,88.0,25.0,2.0,28.4,11.0,3.12,0.1,0.36,0.12,-1.1,-1.4,2073.0,2938.0,70.6,41395.0,16972.0,837.0,998.0,83.9,879.0,1114.0,78.9,315.0,681.0,46.3,-2.9,57.0,160.0,60.0,21.0,184.0,2562.0,376.0,102.0,7.0,457.0,71.0,79.0,25.0,16.0,4.0,2.0,1595.0,472.0,871.0,866.0,1499.0,202.0,162.0,66.0,13.0,69.0,105.0,97.0,131.0,16.37,93.0,11.0,9.0,10.0,6.0,11.0,1.37,6.0,0.0,0.0,4.0,1.0,0.0,157.0,101.0,80.0,59.0,18.0,51.0,133.0,38.3,82.0,1200.0,357.0,29.8,460.0,502.0,238.0,134.0,23.0,1.0,111.0,118.0,192.0,2.0,3881.0,635.0,1629.0,1534.0,891.0,168.0,3517.0,56.0,90.0,62.2,61.0,6.0,2039.0,9254.0,4841.0,170.0,49.0,18.0,2788.0,2073.0,74.4,85.0,86.0,1.0,85.0,84.0,13.0,1.0,0.0,0.0,680.0,171.0,159.0,51.8
Brighton,21.0,57.4,8.0,88.0,720.0,8.0,7.0,1.0,1.0,21.0,0.0,1.0,0.87,1.87,0.87,1.75,8.3,7.6,5.7,1.04,0.71,1.75,0.95,1.66,8.0,8.0,720.0,5.0,0.62,18.0,15.0,83.3,4.0,3.0,1.0,4.0,50.0,2.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,4.8,0.17,-0.2,-0.02,51.0,147.0,34.7,296.0,39.0,36.5,37.5,57.0,68.4,54.6,76.0,14.0,18.4,7.0,0.88,14.9,96.0,26.0,5.0,27.1,12.0,3.25,0.07,0.27,0.08,-0.3,-0.6,3653.0,4447.0,82.1,72589.0,22071.0,1375.0,1534.0,89.6,1687.0,1901.0,88.7,526.0,840.0,62.6,1.3,72.0,211.0,70.0,12.0,256.0,4114.0,333.0,66.0,5.0,632.0,128.0,87.0,43.0,13.0,22.0,1.0,3182.0,498.0,767.0,1012.0,2983.0,146.0,154.0,61.0,6.0,72.0,121.0,116.0,158.0,19.75,109.0,21.0,8.0,9.0,10.0,13.0,1.62,8.0,2.0,0.0,1.0,2.0,0.0,173.0,105.0,90.0,55.0,28.0,51.0,111.0,45.9,60.0,1270.0,402.0,31.7,462.0,475.0,333.0,143.0,29.0,1.0,114.0,100.0,160.0,1.0,5392.0,624.0,2076.0,2184.0,1442.0,200.0,5061.0,54.0,98.0,55.1,59.0,2.0,3399.0,16436.0,8446.0,326.0,99.0,30.0,4265.0,3653.0,85.7,90.0,95.0,0.0,77.0,63.0,8.0,0.0,2.0,0.0,662.0,123.0,134.0,47.9
Burnley,18.0,39.5,8.0,88.0,720.0,4.0,4.0,0.0,0.0,18.0,0.0,0.5,0.5,1.0,0.5,1.0,8.5,8.5,6.1,1.06,0.77,1.82,1.06,1.82,8.0,8.0,720.0,13.0,1.62,36.0,23.0,63.9,0.0,3.0,5.0,1.0,12.5,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,11.7,0.33,-1.3,-0.17,64.0,171.0,37.4,170.0,37.0,68.8,52.8,62.0,87.1,64.8,73.0,8.0,11.0,11.0,1.38,16.1,94.0,26.0,3.0,27.7,11.75,3.25,0.04,0.15,0.09,-4.5,-4.5,2078.0,3000.0,69.3,44725.0,18130.0,855.0,1024.0,83.5,758.0,960.0,79.0,432.0,883.0,48.9,-2.1,66.0,192.0,64.0,26.0,188.0,2631.0,369.0,65.0,5.0,587.0,107.0,127.0,44.0,40.0,0.0,1.0,1448.0,525.0,1027.0,960.0,1466.0,185.0,177.0,59.0,24.0,65.0,78.0,105.0,137.0,17.12,100.0,15.0,2.0,10.0,7.0,6.0,0.75,3.0,2.0,0.0,1.0,0.0,0.0,139.0,82.0,61.0,54.0,24.0,46.0,115.0,40.0,69.0,995.0,303.0,30.5,318.0,414.0,263.0,154.0,56.0,4.0,98.0,113.0,174.0,3.0,3891.0,492.0,1188.0,1696.0,1182.0,169.0,3529.0,53.0,99.0,53.5,58.0,1.0,2058.0,10292.0,4851.0,208.0,70.0,11.0,2759.0,2078.0,75.3,85.0,74.0,0.0,76.0,56.0,25.0,0.0,0.0,0.0,733.0,197.0,179.0,52.4
Chelsea,25.0,53.9,8.0,88.0,720.0,16.0,11.0,0.0,0.0,9.0,1.0,2.0,1.37,3.38,2.0,3.38,11.9,11.9,9.6,1.49,1.2,2.68,1.49,2.68,8.0,8.0,720.0,3.0,0.37,27.0,25.0,96.3,6.0,1.0,1.0,5.0,62.5,2.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,5.7,0.15,2.7,0.34,34.0,79.0,43.0,207.0,33.0,29.5,30.7,53.0,34.0,30.8,78.0,7.0,9.0,4.0,0.5,14.3,102.0,36.0,7.0,35.3,12.75,4.5,0.16,0.44,0.12,4.1,4.1,3726.0,4428.0,84.1,69279.0,21868.0,1579.0,1740.0,90.7,1613.0,1814.0,88.9,460.0,714.0,64.4,1.4,74.0,237.0,82.0,11.0,261.0,4082.0,346.0,90.0,16.0,616.0,76.0,97.0,47.0,33.0,4.0,3.0,3272.0,543.0,613.0,934.0,3086.0,133.0,144.0,50.0,13.0,42.0,121.0,94.0,177.0,22.12,139.0,6.0,13.0,7.0,8.0,28.0,3.5,19.0,2.0,2.0,2.0,2.0,1.0,150.0,88.0,77.0,52.0,21.0,49.0,139.0,35.3,90.0,1131.0,337.0,29.8,398.0,481.0,252.0,142.0,37.0,3.0,105.0,119.0,228.0,1.0,5454.0,689.0,2010.0,2421.0,1332.0,218.0,5116.0,80.0,131.0,61.1,84.0,3.0,3523.0,16610.0,9032.0,366.0,112.0,43.0,4258.0,3726.0,87.5,79.0,94.0,0.0,80.0,82.0,13.0,0.0,1.0,0.0,613.0,128.0,116.0,52.5
Crystal Palace,18.0,50.4,7.0,77.0,630.0,8.0,3.0,2.0,2.0,10.0,0.0,1.14,0.43,1.57,0.86,1.29,7.6,6.1,4.8,1.08,0.69,1.77,0.87,1.55,7.0,7.0,630.0,11.0,1.57,33.0,22.0,66.7,1.0,4.0,2.0,2.0,28.6,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,8.4,0.25,-2.6,-0.38,34.0,77.0,44.2,170.0,38.0,32.9,33.1,47.0,44.7,33.4,58.0,5.0,8.6,1.0,0.14,11.3,75.0,16.0,3.0,21.3,10.71,2.29,0.08,0.38,0.08,0.4,-0.1,2745.0,3404.0,80.6,52627.0,16643.0,1133.0,1267.0,89.4,1180.0,1361.0,86.7,371.0,647.0,57.3,-1.8,54.0,163.0,54.0,17.0,200.0,3064.0,340.0,86.0,3.0,491.0,100.0,81.0,28.0,11.0,8.0,5.0,2252.0,485.0,667.0,745.0,2218.0,135.0,161.0,60.0,10.0,50.0,126.0,57.0,123.0,17.57,83.0,11.0,8.0,7.0,8.0,13.0,1.86,9.0,0.0,2.0,1.0,1.0,0.0,118.0,73.0,62.0,48.0,8.0,44.0,105.0,41.9,61.0,1120.0,312.0,27.9,358.0,493.0,269.0,119.0,29.0,0.0,90.0,103.0,167.0,2.0,4332.0,537.0,1559.0,1965.0,1046.0,175.0,3995.0,64.0,117.0,54.7,67.0,4.0,2851.0,13555.0,6811.0,237.0,83.0,31.0,3212.0,2745.0,85.5,118.0,116.0,0.0,81.0,79.0,10.0,1.0,0.0,0.0,590.0,120.0,116.0,50.8
Everton,23.0,40.3,8.0,88.0,720.0,13.0,10.0,3.0,3.0,13.0,0.0,1.62,1.25,2.87,1.25,2.5,12.1,9.8,7.8,1.51,0.97,2.48,1.23,2.2,8.0,8.0,720.0,9.0,1.13,30.0,22.0,70.0,4.0,2.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,7.2,0.24,-0.8,-0.11,55.0,172.0,32.0,162.0,29.0,68.5,51.1,76.0,80.3,64.3,72.0,7.0,9.7,4.0,0.5,13.1,105.0,31.0,3.0,29.5,13.12,3.87,0.1,0.32,0.09,0.9,0.2,2128.0,2915.0,73.0,42998.0,16818.0,831.0,983.0,84.5,883.0,1085.0,81.4,342.0,661.0,51.7,2.2,85.0,159.0,65.0,24.0,220.0,2547.0,368.0,65.0,7.0,493.0,90.0,85.0,38.0,10.0,20.0,2.0,1684.0,429.0,802.0,837.0,1621.0,149.0,172.0,45.0,7.0,90.0,103.0,114.0,175.0,21.87,135.0,16.0,3.0,8.0,11.0,22.0,2.75,18.0,0.0,1.0,0.0,3.0,0.0,155.0,94.0,90.0,44.0,21.0,69.0,159.0,43.4,90.0,1205.0,365.0,30.3,480.0,474.0,251.0,151.0,38.0,0.0,113.0,134.0,223.0,2.0,3954.0,529.0,1483.0,1561.0,1143.0,185.0,3594.0,51.0,108.0,47.2,55.0,5.0,2203.0,12818.0,6938.0,260.0,100.0,38.0,2700.0,2128.0,78.8,89.0,79.0,0.0,72.0,60.0,7.0,3.0,0.0,1.0,644.0,141.0,148.0,48.8
Leeds United,22.0,58.8,8.0,88.0,720.0,7.0,5.0,0.0,0.0,17.0,1.0,0.87,0.62,1.5,0.87,1.5,10.4,10.4,7.6,1.3,0.96,2.26,1.3,2.26,8.0,8.0,720.0,15.0,1.87,44.0,31.0,68.2,1.0,3.0,4.0,1.0,12.5,1.0,1.0,0.0,0.0,8.0,0.0,3.0,1.0,12.6,0.27,-1.4,-0.17,34.0,93.0,36.6,267.0,57.0,27.3,28.9,74.0,27.0,29.8,46.0,7.0,15.2,9.0,1.13,15.6,109.0,30.0,1.0,27.5,13.62,3.75,0.06,0.23,0.1,-3.4,-3.4,3343.0,4104.0,81.5,66641.0,21062.0,1265.0,1428.0,88.6,1556.0,1726.0,90.2,482.0,822.0,58.6,-2.6,80.0,230.0,69.0,18.0,287.0,3711.0,393.0,101.0,6.0,545.0,121.0,107.0,36.0,24.0,5.0,2.0,2754.0,609.0,741.0,1832.0,1856.0,138.0,159.0,77.0,10.0,76.0,108.0,94.0,160.0,20.0,119.0,13.0,7.0,11.0,7.0,11.0,1.37,8.0,1.0,1.0,1.0,0.0,0.0,151.0,85.0,92.0,45.0,14.0,62.0,132.0,47.0,70.0,1266.0,384.0,30.3,448.0,540.0,278.0,119.0,40.0,1.0,79.0,114.0,203.0,6.0,5113.0,683.0,2096.0,2161.0,1182.0,201.0,4735.0,64.0,131.0,48.9,72.0,7.0,3322.0,18309.0,10232.0,320.0,85.0,37.0,3930.0,3343.0,85.1,107.0,90.0,0.0,78.0,85.0,12.0,0.0,1.0,1.0,651.0,107.0,139.0,43.5
Leicester City,22.0,52.0,8.0,88.0,720.0,13.0,10.0,0.0,0.0,10.0,1.0,1.62,1.25,2.87,1.62,2.87,12.8,12.8,7.1,1.6,0.89,2.49,1.6,2.49,8.0,8.0,720.0,14.0,1.75,37.0,26.0,67.6,3.0,2.0,3.0,1.0,12.5,2.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,8.9,0.21,-4.1,-0.51,57.0,141.0,40.4,237.0,38.0,46.8,38.8,73.0,41.1,38.4,77.0,6.0,7.8,6.0,0.75,13.3,98.0,32.0,1.0,32.7,12.25,4.0,0.13,0.41,0.13,0.2,0.2,3364.0,4107.0,81.9,63950.0,20128.0,1317.0,1480.0,89.0,1580.0,1752.0,90.2,399.0,721.0,55.3,2.9,65.0,178.0,59.0,6.0,264.0,3708.0,399.0,107.0,7.0,598.0,106.0,67.0,43.0,18.0,16.0,3.0,2947.0,500.0,660.0,890.0,2795.0,139.0,154.0,47.0,12.0,79.0,125.0,80.0,142.0,17.75,110.0,7.0,8.0,8.0,5.0,18.0,2.25,11.0,0.0,2.0,2.0,1.0,2.0,153.0,89.0,69.0,68.0,16.0,62.0,151.0,41.1,89.0,1304.0,355.0,27.2,468.0,578.0,258.0,132.0,38.0,0.0,94.0,97.0,190.0,3.0,5043.0,638.0,1844.0,2435.0,1047.0,199.0,4661.0,62.0,114.0,54.4,68.0,5.0,3278.0,15382.0,8333.0,329.0,97.0,42.0,3979.0,3364.0,84.5,99.0,93.0,0.0,63.0,82.0,15.0,0.0,2.0,1.0,609.0,118.0,117.0,50.2
