player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Luis Abram,pe PER,DF,Granada,25-233,1996,4.0,3.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/players/1f462f95/matchlogs/2021-2022/summary/Luis-Abram-Match-Logs,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,43.0,83.7,792.0,226.0,13.0,13.0,100.0,15.0,19.0,78.9,8.0,11.0,72.7,0.0,0.0,0.0,0.0,0.0,1.0,42.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,7.0,33.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,12.0,6.0,50.0,3.0,8.0,1.0,6.0,2.0,0.0,4.0,5.0,18.0,0.0,75.0,18.0,51.0,24.0,3.0,2.0,74.0,0.0,0.0,0.0,0.0,0.0,26.0,96.0,45.0,3.0,0.0,0.0,37.0,35.0,94.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,57.1
Marcos Acuña,ar ARG,DF,Sevilla,29-355,1991,7.0,6.0,541.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,0.7,0.7,1.2,0.11,0.21,0.32,0.11,0.32,/en/players/81442ecb/matchlogs/2021-2022/summary/Marcos-Acuna-Match-Logs,6.0,3.0,2.0,0.0,66.7,0.5,0.33,0.0,0.0,0.23,-0.7,-0.7,380.0,469.0,81.0,7831.0,3214.0,145.0,155.0,93.5,164.0,189.0,86.8,69.0,117.0,59.0,-0.2,16.0,32.0,15.0,4.0,38.0,382.0,87.0,18.0,2.0,35.0,24.0,28.0,9.0,0.0,9.0,0.0,289.0,66.0,114.0,353.0,43.0,9.0,60.0,0.0,0.0,8.0,19.0,5.0,25.0,4.16,17.0,7.0,0.0,0.0,1.0,1.0,0.17,0.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,7.0,3.0,2.0,5.0,8.0,62.5,3.0,63.0,17.0,27.0,30.0,25.0,8.0,9.0,1.0,0.0,8.0,9.0,8.0,0.0,534.0,12.0,148.0,267.0,151.0,5.0,450.0,12.0,16.0,75.0,13.0,2.0,352.0,1523.0,875.0,35.0,8.0,1.0,390.0,369.0,94.6,11.0,7.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,40.0,4.0,13.0,23.5
Martin Agirregabiria,es ESP,DF,Alavés,25-161,1996,4.0,4.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.02,0.03,0.05,0.02,0.05,/en/players/355c883a/matchlogs/2021-2022/summary/Martin-Agirregabiria-Match-Logs,3.8,2.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.04,-0.1,-0.1,112.0,148.0,75.7,2165.0,1101.0,47.0,55.0,85.5,52.0,64.0,81.3,13.0,26.0,50.0,-0.1,3.0,9.0,9.0,6.0,10.0,119.0,29.0,3.0,0.0,16.0,6.0,13.0,1.0,0.0,0.0,0.0,75.0,38.0,35.0,9.0,101.0,11.0,25.0,0.0,0.0,5.0,8.0,5.0,3.0,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,6.0,2.0,3.0,4.0,10.0,40.0,6.0,54.0,12.0,22.2,21.0,24.0,9.0,13.0,2.0,0.0,11.0,7.0,15.0,0.0,205.0,12.0,73.0,93.0,50.0,5.0,177.0,0.0,1.0,0.0,0.0,1.0,94.0,397.0,218.0,7.0,2.0,0.0,116.0,103.0,88.8,4.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,19.0,7.0,8.0,46.7
Julen Agirrezabala,es ESP,GK,Athletic Club,20-296,2000,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/players/a2c1a8d3/matchlogs/2021-2022/summary/Julen-Agirrezabala-Match-Logs,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,46.0,73.9,857.0,445.0,8.0,8.0,100.0,19.0,19.0,100.0,6.0,18.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,17.0,16.0,18.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0,44.0,52.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,95.0,51.0,0.0,0.0,0.0,10.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,Barcelona,33-138,1988,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/players/4d034881/matchlogs/2021-2022/summary/Sergio-Aguero-Match-Logs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,22.0,15.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,15.0,1.0,0.0,1.0,6.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,26-019,1995,4.0,2.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,/en/players/18abe173/matchlogs/2021-2022/summary/Joseph-Aidoo-Match-Logs,2.0,1.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.02,0.0,0.0,85.0,101.0,84.2,2009.0,572.0,17.0,18.0,94.4,47.0,51.0,92.2,20.0,30.0,66.7,0.0,0.0,5.0,0.0,0.0,5.0,100.0,1.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,65.0,13.0,23.0,15.0,74.0,8.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,5.0,25.0,13.0,7.0,0.0,1.0,0.0,0.0,1.0,2.0,16.0,1.0,126.0,13.0,65.0,68.0,1.0,1.0,125.0,0.0,0.0,0.0,0.0,0.0,79.0,393.0,188.0,4.0,0.0,0.0,76.0,74.0,97.4,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,11.0,4.0,73.3
Carlos Akapo,gq EQG,DF,Cádiz,28-220,1993,5.0,4.0,358.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.01,0.0,0.01,/en/players/f2a68b97/matchlogs/2021-2022/summary/Carlos-Akapo-Match-Logs,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,152.0,69.1,2180.0,800.0,39.0,48.0,81.3,47.0,63.0,74.6,16.0,31.0,51.6,-0.1,1.0,6.0,3.0,1.0,7.0,112.0,40.0,4.0,0.0,20.0,7.0,6.0,0.0,0.0,0.0,0.0,70.0,41.0,41.0,6.0,95.0,10.0,36.0,0.0,0.0,6.0,3.0,9.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,1.0,0.0,3.0,6.0,50.0,3.0,63.0,17.0,27.0,36.0,21.0,6.0,6.0,0.0,0.0,6.0,7.0,10.0,0.0,189.0,15.0,62.0,81.0,57.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,87.0,493.0,232.0,11.0,7.0,0.0,97.0,78.0,80.4,4.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,31.0,8.0,9.0,47.1
Paul Akouokou,ci CIV,MF,Betis,23-302,1997,1.0,1.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,/en/players/31f5b89b/matchlogs/2021-2022/summary/Paul-Akouokou-Match-Logs,0.9,1.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,0.0,54.0,61.0,88.5,1042.0,310.0,19.0,23.0,82.6,31.0,32.0,96.9,4.0,6.0,66.7,0.0,0.0,7.0,1.0,0.0,5.0,61.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,8.0,8.0,48.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,19.0,6.0,31.6,7.0,9.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,70.0,2.0,15.0,53.0,4.0,0.0,70.0,1.0,1.0,100.0,1.0,0.0,50.0,292.0,174.0,7.0,1.0,0.0,52.0,52.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0
David Alaba,at AUT,DF,Real Madrid,29-116,1992,7.0,7.0,630.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,0.2,0.2,1.2,0.03,0.17,0.21,0.03,0.21,/en/players/05439de2/matchlogs/2021-2022/summary/David-Alaba-Match-Logs,7.0,6.0,0.0,3.0,0.0,0.86,0.0,0.0,0.0,0.04,-0.2,-0.2,408.0,455.0,89.7,7218.0,2328.0,184.0,193.0,95.3,172.0,183.0,94.0,44.0,68.0,64.7,0.8,10.0,37.0,8.0,1.0,25.0,414.0,41.0,14.0,1.0,44.0,3.0,18.0,3.0,3.0,0.0,0.0,361.0,42.0,52.0,352.0,68.0,10.0,23.0,0.0,2.0,5.0,3.0,4.0,18.0,2.57,15.0,1.0,0.0,0.0,0.0,6.0,0.86,6.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,7.0,2.0,2.0,5.0,8.0,62.5,3.0,69.0,23.0,33.3,34.0,27.0,8.0,8.0,2.0,0.0,6.0,12.0,20.0,0.0,516.0,60.0,203.0,229.0,122.0,14.0,473.0,2.0,3.0,66.7,2.0,0.0,366.0,2187.0,1274.0,36.0,13.0,2.0,403.0,378.0,93.8,5.0,4.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,40.0,5.0,4.0,55.6
Tomás Alarcón,cl CHI,MF,Cádiz,22-272,1999,8.0,7.0,659.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.14,0.14,0.0,0.14,0.6,0.6,0.3,0.09,0.04,0.13,0.09,0.13,/en/players/99ea2ddd/matchlogs/2021-2022/summary/Tomas-Alarcon-Match-Logs,7.3,7.0,1.0,0.0,14.3,0.96,0.14,0.0,0.0,0.09,-0.6,-0.6,157.0,227.0,69.2,3592.0,1007.0,52.0,62.0,83.9,68.0,91.0,74.7,34.0,66.0,51.5,0.7,3.0,16.0,3.0,2.0,10.0,205.0,22.0,13.0,0.0,49.0,17.0,10.0,8.0,4.0,3.0,0.0,116.0,29.0,82.0,15.0,189.0,14.0,1.0,0.0,1.0,11.0,3.0,5.0,11.0,1.5,6.0,4.0,1.0,0.0,0.0,3.0,0.41,1.0,2.0,0.0,0.0,0.0,0.0,20.0,12.0,10.0,6.0,4.0,5.0,12.0,41.7,7.0,141.0,42.0,29.8,75.0,52.0,14.0,18.0,4.0,0.0,14.0,13.0,32.0,0.0,329.0,31.0,115.0,163.0,64.0,5.0,307.0,2.0,3.0,66.7,2.0,0.0,165.0,598.0,237.0,6.0,3.0,0.0,152.0,137.0,90.1,5.0,8.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,78.0,15.0,13.0,53.6
