squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,24.0,45.0,7.0,77.0,630.0,2.0,1.0,1.0,1.0,17.0,1.0,0.29,0.14,0.43,0.14,0.29,4.7,4.0,2.6,0.68,0.37,1.05,0.57,0.94,7.0,7.0,630.0,12.0,1.71,23.0,13.0,56.5,1.0,0.0,6.0,1.0,14.3,3.0,2.0,1.0,0.0,7.0,0.0,4.0,0.0,10.5,0.35,-1.5,-0.21,70.0,139.0,50.4,152.0,14.0,65.1,49.0,73.0,54.8,44.7,59.0,7.0,11.9,1.0,0.14,12.8,69.0,17.0,2.0,24.6,9.86,2.43,0.01,0.06,0.06,-2.7,-3.0,2057.0,2727.0,75.4,45429.0,17561.0,743.0,891.0,83.4,862.0,1027.0,83.9,413.0,712.0,58.0,-1.6,48.0,153.0,41.0,20.0,143.0,2349.0,378.0,107.0,2.0,436.0,133.0,101.0,27.0,11.0,10.0,3.0,1550.0,427.0,750.0,735.0,1546.0,134.0,151.0,33.0,10.0,68.0,94.0,78.0,95.0,13.57,50.0,21.0,6.0,7.0,9.0,3.0,0.43,0.0,1.0,0.0,0.0,1.0,1.0,105.0,66.0,47.0,40.0,18.0,30.0,96.0,31.3,66.0,1091.0,284.0,26.0,366.0,482.0,243.0,103.0,23.0,0.0,80.0,85.0,227.0,1.0,3581.0,479.0,1293.0,1618.0,833.0,137.0,3212.0,53.0,88.0,60.2,55.0,5.0,1984.0,9277.0,4484.0,175.0,46.0,19.0,2518.0,2057.0,81.7,100.0,71.0,1.0,102.0,95.0,12.0,1.0,3.0,0.0,498.0,178.0,111.0,61.6
Athletic Club,21.0,45.8,8.0,88.0,720.0,6.0,6.0,0.0,1.0,15.0,0.0,0.75,0.75,1.5,0.75,1.5,10.3,9.6,7.9,1.29,0.99,2.28,1.2,2.19,8.0,8.0,720.0,4.0,0.5,21.0,15.0,81.0,3.0,4.0,1.0,5.0,62.5,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.3,0.2,0.3,0.03,47.0,109.0,43.1,151.0,39.0,48.3,41.7,73.0,49.3,43.8,92.0,5.0,5.4,7.0,0.88,13.6,93.0,26.0,2.0,28.0,11.62,3.25,0.06,0.23,0.1,-4.3,-3.6,2356.0,3234.0,72.9,48321.0,18905.0,895.0,1084.0,82.6,1037.0,1281.0,81.0,390.0,744.0,52.4,-1.9,67.0,191.0,68.0,19.0,264.0,2803.0,431.0,120.0,1.0,380.0,103.0,105.0,57.0,10.0,26.0,1.0,1835.0,501.0,898.0,814.0,1898.0,182.0,169.0,54.0,12.0,92.0,111.0,100.0,145.0,18.12,91.0,23.0,6.0,9.0,7.0,10.0,1.25,4.0,3.0,1.0,0.0,1.0,1.0,123.0,84.0,49.0,49.0,25.0,43.0,106.0,40.6,63.0,1349.0,383.0,28.4,336.0,622.0,391.0,136.0,25.0,0.0,111.0,94.0,203.0,0.0,4173.0,504.0,1333.0,1950.0,1115.0,189.0,3750.0,55.0,98.0,56.1,63.0,5.0,2361.0,11795.0,6682.0,260.0,84.0,24.0,2841.0,2356.0,82.9,113.0,91.0,0.0,114.0,97.0,13.0,0.0,0.0,0.0,717.0,148.0,173.0,46.1
Atlético Madrid,21.0,52.4,8.0,88.0,720.0,10.0,9.0,0.0,0.0,32.0,2.0,1.25,1.13,2.37,1.25,2.37,9.2,9.2,6.9,1.15,0.86,2.01,1.15,2.01,8.0,8.0,720.0,6.0,0.75,12.0,7.0,58.3,5.0,2.0,1.0,3.0,37.5,1.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,4.3,0.28,-0.7,-0.09,34.0,95.0,35.8,158.0,41.0,42.4,40.5,56.0,50.0,42.9,62.0,6.0,9.7,1.0,0.13,14.3,102.0,24.0,2.0,23.5,12.75,3.0,0.1,0.42,0.09,0.8,0.8,3337.0,4101.0,81.4,66407.0,21887.0,1378.0,1549.0,89.0,1358.0,1545.0,87.9,537.0,846.0,63.5,2.1,71.0,274.0,72.0,12.0,311.0,3693.0,408.0,101.0,12.0,473.0,177.0,105.0,46.0,13.0,27.0,1.0,2750.0,596.0,755.0,1038.0,2581.0,141.0,191.0,64.0,16.0,84.0,113.0,107.0,145.0,18.12,106.0,16.0,8.0,7.0,6.0,18.0,2.25,15.0,0.0,2.0,0.0,0.0,1.0,131.0,79.0,61.0,52.0,18.0,54.0,123.0,43.9,69.0,1068.0,331.0,31.0,323.0,480.0,265.0,95.0,17.0,0.0,78.0,91.0,143.0,4.0,4929.0,414.0,1478.0,2309.0,1448.0,231.0,4539.0,80.0,123.0,65.0,91.0,4.0,3263.0,15976.0,9050.0,379.0,100.0,43.0,3931.0,3337.0,84.9,96.0,105.0,1.0,92.0,88.0,18.0,0.0,1.0,0.0,644.0,121.0,107.0,53.1
Barcelona,26.0,67.9,8.0,88.0,720.0,14.0,10.0,2.0,2.0,18.0,2.0,1.75,1.25,3.0,1.5,2.75,13.2,11.7,9.5,1.65,1.18,2.84,1.46,2.65,8.0,8.0,720.0,8.0,1.0,25.0,17.0,68.0,4.0,3.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,8.1,0.33,0.1,0.02,46.0,93.0,49.5,269.0,30.0,27.9,30.9,55.0,32.7,35.9,59.0,4.0,6.8,6.0,0.75,15.2,93.0,39.0,5.0,41.9,11.62,4.87,0.13,0.31,0.13,0.8,0.3,4711.0,5385.0,87.5,87085.0,25975.0,2032.0,2190.0,92.8,2007.0,2200.0,91.2,592.0,834.0,71.0,0.5,73.0,361.0,85.0,19.0,373.0,4956.0,429.0,136.0,13.0,687.0,129.0,130.0,53.0,20.0,6.0,1.0,4258.0,496.0,631.0,1109.0,3893.0,103.0,166.0,51.0,13.0,53.0,116.0,82.0,160.0,20.0,114.0,18.0,10.0,3.0,11.0,25.0,3.12,20.0,1.0,1.0,0.0,3.0,0.0,134.0,96.0,60.0,55.0,19.0,50.0,113.0,44.2,63.0,991.0,356.0,35.9,295.0,463.0,233.0,121.0,19.0,1.0,102.0,81.0,142.0,2.0,6333.0,571.0,1749.0,3227.0,1738.0,251.0,5927.0,85.0,151.0,56.3,91.0,8.0,4484.0,21360.0,11860.0,524.0,130.0,53.0,5225.0,4711.0,90.2,122.0,111.0,1.0,97.0,125.0,14.0,2.0,0.0,0.0,614.0,113.0,105.0,51.8
Betis,28.0,56.8,8.0,88.0,720.0,10.0,8.0,0.0,0.0,23.0,1.0,1.25,1.0,2.25,1.25,2.25,13.1,13.1,9.1,1.63,1.14,2.77,1.63,2.77,8.0,8.0,720.0,9.0,1.13,22.0,14.0,63.6,3.0,3.0,2.0,1.0,12.5,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,7.2,0.29,-1.8,-0.23,43.0,98.0,43.9,190.0,29.0,40.5,37.5,48.0,43.8,39.7,78.0,2.0,2.6,6.0,0.75,15.2,127.0,47.0,5.0,37.0,15.87,5.87,0.08,0.21,0.1,-3.1,-3.1,3561.0,4270.0,83.4,68185.0,21874.0,1470.0,1626.0,90.4,1558.0,1748.0,89.1,469.0,749.0,62.6,-1.1,95.0,253.0,82.0,11.0,288.0,3899.0,371.0,117.0,5.0,559.0,106.0,95.0,43.0,16.0,18.0,0.0,3115.0,474.0,681.0,1844.0,2030.0,122.0,147.0,47.0,12.0,74.0,109.0,93.0,202.0,25.25,139.0,18.0,14.0,11.0,12.0,14.0,1.75,7.0,1.0,1.0,1.0,3.0,1.0,137.0,96.0,67.0,44.0,26.0,54.0,132.0,40.9,78.0,1101.0,333.0,30.2,349.0,489.0,263.0,123.0,18.0,1.0,105.0,95.0,204.0,2.0,5249.0,502.0,1592.0,2610.0,1366.0,239.0,4894.0,82.0,146.0,56.2,88.0,7.0,3530.0,17948.0,9801.0,401.0,109.0,49.0,4113.0,3561.0,86.6,97.0,75.0,0.0,103.0,96.0,14.0,0.0,1.0,0.0,657.0,134.0,106.0,55.8
Cádiz,26.0,30.5,8.0,88.0,720.0,7.0,3.0,2.0,3.0,22.0,1.0,0.87,0.37,1.25,0.62,1.0,7.5,5.1,3.9,0.93,0.48,1.42,0.64,1.13,8.0,8.0,720.0,11.0,1.37,32.0,23.0,75.0,1.0,4.0,3.0,2.0,25.0,3.0,3.0,0.0,0.0,8.0,0.0,2.0,0.0,11.3,0.28,0.3,0.04,72.0,199.0,36.2,145.0,11.0,84.1,59.5,82.0,93.9,70.3,91.0,5.0,5.5,3.0,0.38,13.1,53.0,15.0,2.0,28.3,6.62,1.87,0.09,0.33,0.1,-0.5,-0.1,1413.0,2249.0,62.8,31842.0,14236.0,535.0,674.0,79.4,547.0,762.0,71.8,299.0,697.0,42.9,-0.9,35.0,121.0,39.0,18.0,121.0,1851.0,398.0,87.0,3.0,439.0,94.0,96.0,22.0,7.0,10.0,2.0,970.0,375.0,904.0,436.0,1302.0,140.0,188.0,24.0,6.0,83.0,78.0,88.0,78.0,9.75,47.0,12.0,5.0,6.0,5.0,11.0,1.37,5.0,2.0,0.0,2.0,2.0,0.0,164.0,98.0,97.0,53.0,14.0,60.0,153.0,39.2,93.0,1498.0,374.0,25.0,638.0,661.0,199.0,141.0,28.0,0.0,113.0,120.0,263.0,1.0,3263.0,532.0,1339.0,1296.0,779.0,111.0,2869.0,51.0,99.0,51.5,57.0,6.0,1538.0,8194.0,4227.0,142.0,62.0,13.0,1970.0,1413.0,71.7,106.0,71.0,1.0,90.0,76.0,7.0,2.0,2.0,0.0,610.0,178.0,183.0,49.3
Celta Vigo,21.0,57.3,9.0,99.0,810.0,7.0,4.0,1.0,2.0,24.0,1.0,0.78,0.44,1.22,0.67,1.11,9.8,8.4,6.7,1.09,0.74,1.83,0.93,1.67,9.0,9.0,810.0,12.0,1.33,35.0,24.0,68.6,2.0,1.0,6.0,3.0,33.3,4.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,14.8,0.33,2.8,0.31,76.0,162.0,46.9,246.0,32.0,50.0,42.3,59.0,66.1,51.8,54.0,5.0,9.3,14.0,1.56,19.2,90.0,20.0,2.0,22.2,10.0,2.22,0.07,0.3,0.1,-2.8,-2.4,3847.0,4851.0,79.3,80341.0,23057.0,1407.0,1617.0,87.0,1667.0,1932.0,86.3,717.0,1127.0,63.6,-2.7,65.0,261.0,71.0,18.0,281.0,4401.0,450.0,112.0,7.0,611.0,180.0,124.0,37.0,13.0,15.0,3.0,3233.0,729.0,889.0,1450.0,2828.0,185.0,221.0,54.0,19.0,97.0,130.0,126.0,142.0,15.78,106.0,10.0,4.0,8.0,7.0,8.0,0.89,5.0,0.0,1.0,2.0,0.0,0.0,176.0,101.0,90.0,66.0,20.0,48.0,137.0,35.0,89.0,1315.0,419.0,31.9,423.0,587.0,305.0,152.0,23.0,1.0,129.0,127.0,195.0,1.0,5908.0,513.0,1737.0,3100.0,1421.0,185.0,5469.0,70.0,122.0,57.4,79.0,7.0,3729.0,19154.0,10603.0,428.0,118.0,23.0,4644.0,3847.0,82.8,119.0,92.0,0.0,108.0,100.0,21.0,1.0,4.0,0.0,811.0,164.0,171.0,49.0
Elche,23.0,44.9,9.0,99.0,810.0,6.0,4.0,0.0,0.0,22.0,0.0,0.67,0.44,1.11,0.67,1.11,7.0,7.0,5.8,0.78,0.65,1.43,0.78,1.43,9.0,9.0,810.0,10.0,1.11,37.0,27.0,73.0,2.0,3.0,4.0,3.0,33.3,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.4,0.28,0.4,0.04,64.0,186.0,34.4,225.0,48.0,58.2,44.6,91.0,60.4,45.9,101.0,6.0,5.9,4.0,0.44,13.4,69.0,25.0,2.0,36.2,7.67,2.78,0.09,0.24,0.1,-1.0,-1.0,2886.0,3702.0,78.0,60423.0,21538.0,1088.0,1265.0,86.0,1234.0,1403.0,88.0,512.0,876.0,58.4,-1.8,52.0,147.0,36.0,17.0,170.0,3217.0,485.0,153.0,3.0,582.0,118.0,97.0,35.0,17.0,13.0,1.0,2300.0,553.0,849.0,1241.0,1971.0,125.0,188.0,85.0,16.0,82.0,115.0,126.0,107.0,11.89,74.0,10.0,10.0,5.0,6.0,9.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0,110.0,58.0,64.0,37.0,9.0,39.0,111.0,35.1,72.0,1126.0,292.0,25.9,424.0,527.0,175.0,108.0,26.0,1.0,82.0,142.0,240.0,5.0,4764.0,645.0,1911.0,2238.0,873.0,108.0,4288.0,75.0,133.0,56.4,82.0,6.0,2894.0,14105.0,7053.0,270.0,85.0,16.0,3429.0,2886.0,84.2,133.0,108.0,0.0,105.0,121.0,18.0,0.0,0.0,0.0,630.0,131.0,132.0,49.8
Espanyol,25.0,44.5,8.0,88.0,720.0,6.0,4.0,1.0,1.0,18.0,1.0,0.75,0.5,1.25,0.62,1.13,8.4,7.7,5.4,1.05,0.67,1.72,0.97,1.64,8.0,8.0,720.0,8.0,1.0,31.0,24.0,74.2,2.0,3.0,3.0,3.0,37.5,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,6.6,0.21,-0.4,-0.05,36.0,120.0,30.0,181.0,33.0,44.8,38.8,86.0,45.3,38.0,88.0,6.0,6.8,6.0,0.75,13.8,81.0,23.0,6.0,28.4,10.13,2.87,0.06,0.22,0.1,-2.4,-2.7,2460.0,3155.0,78.0,48459.0,15938.0,985.0,1115.0,88.3,1046.0,1196.0,87.5,364.0,705.0,51.6,-1.4,52.0,172.0,33.0,11.0,162.0,2744.0,411.0,124.0,5.0,395.0,109.0,79.0,41.0,16.0,16.0,0.0,1985.0,436.0,734.0,866.0,1910.0,121.0,136.0,48.0,17.0,58.0,78.0,82.0,117.0,14.63,82.0,9.0,9.0,6.0,5.0,9.0,1.13,4.0,1.0,2.0,2.0,0.0,0.0,130.0,72.0,65.0,48.0,17.0,47.0,123.0,38.2,76.0,990.0,259.0,26.2,408.0,406.0,176.0,117.0,31.0,0.0,86.0,80.0,208.0,6.0,4069.0,622.0,1608.0,1788.0,931.0,140.0,3666.0,65.0,123.0,52.8,68.0,3.0,2478.0,12604.0,7033.0,257.0,87.0,34.0,2960.0,2460.0,83.1,106.0,86.0,0.0,92.0,101.0,19.0,0.0,0.0,0.0,552.0,102.0,157.0,39.4
Getafe,26.0,46.4,9.0,99.0,810.0,3.0,3.0,0.0,1.0,30.0,2.0,0.33,0.33,0.67,0.33,0.67,6.0,5.2,3.8,0.66,0.42,1.08,0.58,1.0,9.0,9.0,810.0,13.0,1.44,30.0,17.0,63.3,0.0,2.0,7.0,1.0,11.1,2.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,11.2,0.32,-1.8,-0.2,80.0,184.0,43.5,202.0,23.0,67.3,48.9,62.0,77.4,55.5,64.0,6.0,9.4,7.0,0.78,15.2,101.0,19.0,12.0,18.8,11.22,2.11,0.03,0.16,0.05,-3.0,-2.2,2755.0,3705.0,74.4,57469.0,20881.0,1084.0,1268.0,85.5,1092.0,1344.0,81.3,524.0,928.0,56.5,-0.8,70.0,232.0,43.0,14.0,257.0,3226.0,479.0,149.0,1.0,577.0,152.0,108.0,45.0,23.0,13.0,2.0,2180.0,499.0,1026.0,1194.0,1915.0,202.0,201.0,46.0,12.0,82.0,102.0,121.0,158.0,17.56,107.0,13.0,11.0,7.0,14.0,4.0,0.44,3.0,0.0,0.0,0.0,0.0,1.0,176.0,115.0,81.0,71.0,24.0,69.0,169.0,40.8,100.0,1528.0,452.0,29.6,401.0,746.0,381.0,105.0,17.0,0.0,88.0,153.0,147.0,4.0,4680.0,440.0,1365.0,2338.0,1243.0,153.0,4210.0,57.0,108.0,52.8,64.0,3.0,2760.0,13861.0,7170.0,306.0,101.0,23.0,3358.0,2755.0,82.0,117.0,95.0,1.0,137.0,127.0,15.0,1.0,2.0,0.0,724.0,168.0,191.0,46.8
