squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Angers,22.0,49.1,10.0,110.0,900.0,14.0,10.0,2.0,2.0,14.0,0.0,1.4,1.0,2.4,1.2,2.2,13.0,11.5,7.0,1.3,0.7,2.0,1.15,1.85,10.0,10.0,900.0,11.0,1.1,26.0,18.0,69.2,4.0,4.0,2.0,4.0,40.0,3.0,3.0,0.0,0.0,10.0,0.0,3.0,0.0,9.9,0.28,-1.1,-0.11,33.0,74.0,44.6,181.0,60.0,28.7,33.5,67.0,32.8,35.8,92.0,10.0,10.9,7.0,0.7,14.9,113.0,34.0,6.0,30.1,11.3,3.4,0.11,0.35,0.11,1.0,0.5,4300.0,5039.0,85.3,87396.0,27317.0,1526.0,1688.0,90.4,1970.0,2170.0,90.8,718.0,1016.0,70.7,3.0,82.0,282.0,49.0,20.0,297.0,4598.0,441.0,138.0,3.0,682.0,198.0,107.0,59.0,14.0,29.0,1.0,3750.0,541.0,748.0,1816.0,2800.0,123.0,156.0,76.0,10.0,78.0,118.0,87.0,180.0,18.0,120.0,19.0,11.0,9.0,14.0,20.0,2.0,12.0,2.0,0.0,4.0,2.0,0.0,234.0,148.0,118.0,94.0,22.0,89.0,207.0,43.0,118.0,1703.0,517.0,30.4,602.0,768.0,333.0,141.0,18.0,0.0,123.0,139.0,159.0,1.0,6283.0,556.0,2177.0,3155.0,1349.0,197.0,5852.0,113.0,224.0,50.4,120.0,8.0,4224.0,20312.0,11463.0,425.0,122.0,40.0,4839.0,4300.0,88.9,135.0,145.0,0.0,110.0,126.0,11.0,2.0,3.0,0.0,695.0,97.0,124.0,43.9
Bordeaux,27.0,48.1,10.0,110.0,900.0,12.0,8.0,0.0,0.0,20.0,0.0,1.2,0.8,2.0,1.2,2.0,8.0,8.0,6.2,0.8,0.62,1.43,0.8,1.43,10.0,10.0,900.0,21.0,2.1,52.0,34.0,65.4,1.0,5.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,19.6,0.32,-1.4,-0.14,72.0,195.0,36.9,255.0,32.0,52.9,41.8,74.0,81.1,57.1,71.0,6.0,8.5,9.0,0.9,15.0,106.0,35.0,4.0,33.0,10.6,3.5,0.11,0.34,0.08,4.0,4.0,3767.0,4640.0,81.2,77174.0,25538.0,1421.0,1592.0,89.3,1657.0,1895.0,87.4,627.0,1002.0,62.6,1.8,76.0,235.0,55.0,15.0,281.0,4128.0,512.0,134.0,6.0,641.0,168.0,88.0,34.0,15.0,8.0,5.0,3153.0,608.0,879.0,1133.0,2986.0,149.0,239.0,46.0,10.0,87.0,154.0,111.0,162.0,16.2,112.0,18.0,14.0,8.0,6.0,14.0,1.4,12.0,1.0,0.0,1.0,0.0,0.0,175.0,108.0,83.0,72.0,20.0,71.0,188.0,37.8,117.0,1453.0,385.0,26.5,459.0,705.0,289.0,115.0,28.0,1.0,87.0,159.0,202.0,2.0,5801.0,629.0,1962.0,3075.0,1135.0,154.0,5309.0,102.0,197.0,51.8,115.0,10.0,3724.0,18911.0,9536.0,334.0,94.0,25.0,4395.0,3767.0,85.7,132.0,126.0,0.0,110.0,113.0,12.0,0.0,3.0,0.0,718.0,127.0,135.0,48.5
Brest,21.0,45.0,10.0,110.0,900.0,11.0,6.0,2.0,2.0,17.0,0.0,1.1,0.6,1.7,0.9,1.5,9.6,8.1,6.7,0.96,0.67,1.64,0.81,1.48,10.0,10.0,900.0,19.0,1.9,45.0,29.0,60.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.0,2.0,12.3,0.27,-4.7,-0.47,76.0,149.0,51.0,253.0,61.0,41.9,37.5,69.0,62.3,50.0,71.0,4.0,5.6,5.0,0.5,14.2,99.0,35.0,2.0,35.4,9.9,3.5,0.09,0.26,0.08,1.4,0.9,3579.0,4478.0,79.9,75142.0,26862.0,1278.0,1473.0,86.8,1578.0,1825.0,86.5,663.0,1003.0,66.1,-0.7,78.0,280.0,88.0,28.0,310.0,3987.0,491.0,113.0,7.0,709.0,178.0,138.0,49.0,22.0,16.0,4.0,2935.0,579.0,964.0,1319.0,2546.0,163.0,231.0,76.0,14.0,72.0,120.0,105.0,170.0,17.0,121.0,19.0,12.0,7.0,8.0,17.0,1.7,9.0,2.0,1.0,1.0,3.0,1.0,175.0,121.0,92.0,62.0,21.0,53.0,159.0,33.3,106.0,1712.0,506.0,29.6,568.0,791.0,353.0,139.0,27.0,1.0,112.0,168.0,215.0,2.0,5675.0,643.0,2035.0,2548.0,1459.0,233.0,5196.0,91.0,183.0,49.7,102.0,7.0,3513.0,18808.0,10764.0,365.0,116.0,32.0,4193.0,3579.0,85.4,145.0,125.0,0.0,134.0,100.0,16.0,2.0,1.0,2.0,758.0,210.0,170.0,55.3
Clermont Foot,20.0,52.7,10.0,110.0,900.0,11.0,9.0,0.0,0.0,11.0,1.0,1.1,0.9,2.0,1.1,2.0,13.5,13.5,10.8,1.35,1.08,2.43,1.35,2.43,10.0,10.0,900.0,20.0,2.0,42.0,25.0,57.1,3.0,4.0,3.0,3.0,30.0,2.0,2.0,0.0,0.0,10.0,0.0,2.0,1.0,14.2,0.32,-4.8,-0.48,26.0,86.0,30.2,195.0,42.0,28.2,32.6,68.0,45.6,37.0,60.0,3.0,5.0,4.0,0.4,11.8,122.0,44.0,3.0,36.1,12.2,4.4,0.09,0.25,0.11,-2.5,-2.5,4643.0,5527.0,84.0,87124.0,27880.0,2037.0,2254.0,90.4,1887.0,2143.0,88.1,634.0,938.0,67.6,-1.8,84.0,279.0,70.0,28.0,313.0,5025.0,502.0,133.0,7.0,774.0,167.0,122.0,62.0,26.0,23.0,2.0,4001.0,659.0,867.0,1683.0,3331.0,161.0,209.0,67.0,8.0,78.0,152.0,113.0,178.0,17.8,117.0,23.0,15.0,7.0,11.0,18.0,1.8,11.0,3.0,1.0,2.0,1.0,0.0,182.0,123.0,79.0,77.0,26.0,82.0,183.0,44.8,101.0,1450.0,458.0,31.6,468.0,686.0,296.0,133.0,27.0,0.0,106.0,140.0,151.0,3.0,6651.0,614.0,2384.0,3219.0,1432.0,225.0,6168.0,102.0,189.0,54.0,110.0,8.0,4615.0,20490.0,10933.0,399.0,118.0,43.0,5280.0,4643.0,87.9,128.0,144.0,0.0,83.0,127.0,10.0,0.0,2.0,1.0,758.0,110.0,122.0,47.4
Lens,23.0,48.5,10.0,110.0,900.0,16.0,10.0,3.0,3.0,20.0,2.0,1.6,1.0,2.6,1.3,2.3,16.6,14.4,11.4,1.66,1.14,2.8,1.44,2.58,10.0,10.0,900.0,11.0,1.1,31.0,21.0,67.7,5.0,3.0,2.0,3.0,30.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,10.4,0.31,-0.6,-0.06,50.0,122.0,41.0,210.0,50.0,41.0,37.3,65.0,55.4,46.6,77.0,12.0,15.6,4.0,0.4,13.2,142.0,51.0,5.0,35.9,14.2,5.1,0.09,0.25,0.11,-0.6,-1.4,4002.0,4877.0,82.1,78323.0,25381.0,1577.0,1791.0,88.1,1833.0,2058.0,89.1,544.0,893.0,60.9,-1.4,107.0,279.0,76.0,26.0,338.0,4433.0,444.0,101.0,7.0,621.0,167.0,114.0,59.0,24.0,27.0,1.0,3462.0,616.0,799.0,1203.0,3135.0,180.0,192.0,74.0,7.0,91.0,150.0,111.0,225.0,22.5,166.0,14.0,18.0,14.0,7.0,23.0,2.3,15.0,1.0,2.0,2.0,2.0,1.0,164.0,101.0,71.0,75.0,18.0,50.0,131.0,38.2,81.0,1472.0,428.0,29.1,402.0,721.0,349.0,128.0,30.0,1.0,98.0,152.0,174.0,2.0,5955.0,548.0,1703.0,3234.0,1444.0,206.0,5524.0,91.0,141.0,64.5,96.0,2.0,3770.0,20426.0,11575.0,506.0,160.0,35.0,4641.0,4002.0,86.2,130.0,104.0,0.0,128.0,93.0,8.0,1.0,1.0,0.0,740.0,129.0,116.0,52.7
Lille,22.0,52.0,10.0,110.0,900.0,12.0,7.0,2.0,2.0,26.0,0.0,1.2,0.7,1.9,1.0,1.7,14.0,12.4,9.5,1.4,0.95,2.35,1.24,2.2,10.0,10.0,900.0,15.0,1.5,39.0,25.0,66.7,4.0,2.0,4.0,1.0,10.0,3.0,2.0,1.0,0.0,10.0,0.0,4.0,0.0,12.3,0.28,-2.7,-0.27,54.0,130.0,41.5,216.0,44.0,42.1,37.8,68.0,57.4,46.7,87.0,10.0,11.5,8.0,0.8,16.2,108.0,38.0,4.0,35.2,10.8,3.8,0.09,0.26,0.12,-2.0,-2.4,4072.0,5026.0,81.0,80885.0,26439.0,1622.0,1831.0,88.6,1701.0,1951.0,87.2,679.0,1030.0,65.9,-2.5,82.0,310.0,79.0,11.0,352.0,4508.0,518.0,134.0,7.0,681.0,152.0,100.0,51.0,28.0,18.0,0.0,3496.0,729.0,801.0,1518.0,2894.0,186.0,241.0,72.0,17.0,82.0,162.0,130.0,171.0,17.1,122.0,20.0,7.0,8.0,9.0,17.0,1.7,10.0,3.0,1.0,0.0,2.0,1.0,189.0,118.0,90.0,79.0,20.0,64.0,167.0,38.3,103.0,1418.0,416.0,29.3,446.0,654.0,318.0,152.0,28.0,0.0,124.0,134.0,198.0,1.0,6196.0,605.0,1999.0,3158.0,1411.0,243.0,5691.0,85.0,151.0,56.3,92.0,11.0,3730.0,18944.0,10825.0,413.0,103.0,38.0,4755.0,4072.0,85.6,167.0,92.0,0.0,109.0,127.0,19.0,2.0,2.0,0.0,755.0,162.0,135.0,54.5
Lorient,23.0,42.1,10.0,110.0,900.0,10.0,5.0,2.0,2.0,28.0,3.0,1.0,0.5,1.5,0.8,1.3,11.2,9.6,8.1,1.12,0.81,1.92,0.96,1.77,10.0,10.0,900.0,13.0,1.3,42.0,31.0,73.8,3.0,5.0,2.0,3.0,30.0,3.0,2.0,0.0,1.0,10.0,2.0,2.0,0.0,13.1,0.27,0.1,0.01,39.0,169.0,23.1,156.0,30.0,59.6,47.8,90.0,84.4,64.5,100.0,4.0,4.0,2.0,0.2,13.5,91.0,37.0,6.0,40.7,9.1,3.7,0.09,0.22,0.11,-1.2,-1.6,3303.0,4209.0,78.5,67350.0,22306.0,1220.0,1383.0,88.2,1487.0,1726.0,86.2,533.0,924.0,57.7,-3.1,66.0,228.0,36.0,14.0,267.0,3751.0,458.0,113.0,3.0,702.0,163.0,86.0,34.0,15.0,9.0,5.0,2747.0,607.0,855.0,1087.0,2663.0,139.0,198.0,50.0,10.0,85.0,125.0,115.0,149.0,14.9,106.0,11.0,7.0,6.0,12.0,18.0,1.8,9.0,2.0,0.0,0.0,5.0,2.0,194.0,126.0,93.0,77.0,24.0,75.0,206.0,36.4,131.0,1699.0,467.0,27.5,615.0,814.0,270.0,146.0,40.0,0.0,106.0,164.0,260.0,2.0,5418.0,594.0,1958.0,2698.0,1096.0,121.0,4965.0,79.0,146.0,54.1,85.0,2.0,3188.0,14487.0,8116.0,341.0,109.0,32.0,3942.0,3303.0,83.8,128.0,131.0,3.0,132.0,109.0,12.0,2.0,3.0,0.0,750.0,108.0,148.0,42.2
Lyon,25.0,59.1,10.0,110.0,900.0,16.0,11.0,2.0,2.0,19.0,4.0,1.6,1.1,2.7,1.4,2.5,17.8,16.4,13.2,1.78,1.32,3.11,1.64,2.97,10.0,10.0,898.0,13.0,1.3,50.0,42.0,80.0,4.0,4.0,2.0,2.0,20.0,3.0,3.0,0.0,0.0,10.0,1.0,1.0,2.0,13.2,0.21,2.2,0.22,44.0,82.0,53.7,236.0,51.0,26.3,31.7,75.0,26.7,30.3,87.0,4.0,4.6,9.0,0.9,15.8,139.0,55.0,4.0,39.6,13.9,5.5,0.1,0.25,0.12,-1.8,-2.4,5177.0,5976.0,86.6,99014.0,30332.0,2152.0,2345.0,91.8,2135.0,2343.0,91.1,766.0,1065.0,71.9,-2.2,106.0,336.0,80.0,23.0,372.0,5513.0,463.0,114.0,17.0,709.0,170.0,107.0,54.0,19.0,18.0,4.0,4594.0,661.0,721.0,1663.0,3837.0,123.0,198.0,77.0,14.0,72.0,157.0,76.0,229.0,22.9,175.0,13.0,17.0,10.0,8.0,27.0,2.7,22.0,0.0,1.0,2.0,2.0,0.0,201.0,125.0,98.0,74.0,29.0,78.0,186.0,41.9,108.0,1384.0,403.0,29.1,435.0,607.0,342.0,130.0,27.0,2.0,103.0,147.0,194.0,3.0,7197.0,668.0,2309.0,3667.0,1690.0,241.0,6757.0,124.0,216.0,57.4,136.0,9.0,4946.0,23457.0,12877.0,492.0,139.0,51.0,5818.0,5177.0,89.0,141.0,129.0,2.0,109.0,97.0,16.0,2.0,3.0,2.0,711.0,135.0,129.0,51.1
Marseille,23.0,61.6,9.0,99.0,810.0,18.0,14.0,1.0,1.0,13.0,2.0,2.0,1.56,3.56,1.89,3.44,15.2,14.4,12.2,1.52,1.22,2.74,1.44,2.66,9.0,9.0,810.0,11.0,1.22,28.0,20.0,67.9,5.0,2.0,2.0,3.0,33.3,2.0,2.0,0.0,0.0,9.0,0.0,3.0,1.0,8.1,0.24,-1.9,-0.19,42.0,86.0,48.8,230.0,38.0,28.3,30.7,67.0,31.3,33.5,60.0,6.0,10.0,5.0,0.56,15.0,123.0,38.0,7.0,30.9,13.67,4.22,0.14,0.45,0.11,2.8,2.6,4920.0,5589.0,88.0,93262.0,26286.0,2082.0,2259.0,92.2,2131.0,2313.0,92.1,645.0,886.0,72.8,1.8,101.0,365.0,70.0,21.0,320.0,5149.0,440.0,124.0,7.0,798.0,158.0,98.0,45.0,26.0,11.0,2.0,4352.0,623.0,614.0,1754.0,3434.0,109.0,182.0,55.0,12.0,62.0,135.0,86.0,222.0,22.2,154.0,24.0,18.0,13.0,10.0,32.0,3.2,19.0,2.0,4.0,3.0,3.0,1.0,149.0,91.0,71.0,66.0,12.0,49.0,119.0,41.2,70.0,1075.0,316.0,29.4,354.0,461.0,260.0,98.0,18.0,0.0,80.0,128.0,124.0,0.0,6558.0,581.0,1969.0,3475.0,1581.0,223.0,6137.0,94.0,154.0,61.0,100.0,7.0,4781.0,24465.0,13711.0,569.0,161.0,53.0,5429.0,4920.0,90.6,108.0,127.0,1.0,66.0,108.0,12.0,1.0,2.0,1.0,595.0,89.0,82.0,52.0
Metz,28.0,45.5,10.0,110.0,900.0,10.0,7.0,1.0,1.0,27.0,2.0,1.0,0.7,1.7,0.9,1.6,8.8,8.0,5.5,0.88,0.55,1.42,0.8,1.35,10.0,10.0,900.0,22.0,2.2,46.0,27.0,56.5,1.0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,2.0,2.0,17.9,0.35,-2.1,-0.21,80.0,192.0,41.7,217.0,60.0,57.6,47.0,78.0,85.9,60.9,87.0,15.0,17.2,10.0,1.0,15.4,100.0,35.0,3.0,35.0,10.0,3.5,0.09,0.26,0.08,1.2,1.0,3446.0,4347.0,79.3,69057.0,22965.0,1356.0,1538.0,88.2,1499.0,1727.0,86.8,524.0,914.0,57.3,1.5,71.0,231.0,44.0,19.0,220.0,3872.0,475.0,147.0,4.0,474.0,144.0,98.0,39.0,10.0,18.0,1.0,2960.0,542.0,845.0,870.0,2936.0,155.0,181.0,75.0,10.0,87.0,130.0,96.0,153.0,15.3,113.0,13.0,8.0,8.0,7.0,15.0,1.5,12.0,1.0,1.0,0.0,1.0,0.0,205.0,132.0,100.0,82.0,23.0,67.0,166.0,40.4,99.0,1558.0,484.0,31.1,554.0,705.0,299.0,176.0,45.0,3.0,131.0,187.0,210.0,3.0,5631.0,577.0,1941.0,2884.0,1144.0,130.0,5174.0,77.0,147.0,52.4,88.0,9.0,3474.0,17829.0,9491.0,356.0,91.0,18.0,4098.0,3446.0,84.1,163.0,128.0,1.0,130.0,129.0,11.0,1.0,2.0,2.0,761.0,177.0,152.0,53.8
