player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,eng ENG,DF,Norwich City,21-287,2000,8.0,8.0,720.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.03,0.09,0.12,0.03,0.12,/en/players/774cf58b/matchlogs/2021-2022/summary/Max-Aarons-Match-Logs,8.0,7.0,1.0,0.0,14.3,0.87,0.12,0.0,0.0,0.03,-0.2,-0.2,280.0,356.0,78.7,4675.0,1541.0,151.0,162.0,93.2,101.0,125.0,80.8,24.0,54.0,44.4,-0.7,8.0,10.0,13.0,4.0,24.0,269.0,87.0,7.0,1.0,38.0,6.0,14.0,0.0,0.0,0.0,0.0,215.0,79.0,62.0,38.0,230.0,4.0,80.0,1.0,2.0,5.0,8.0,14.0,15.0,1.87,12.0,0.0,1.0,1.0,1.0,2.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,7.0,5.0,0.0,8.0,17.0,47.1,9.0,98.0,24.0,24.5,58.0,30.0,10.0,22.0,6.0,0.0,16.0,9.0,19.0,0.0,458.0,41.0,179.0,198.0,112.0,7.0,374.0,13.0,26.0,50.0,13.0,0.0,283.0,1688.0,1111.0,43.0,14.0,2.0,306.0,268.0,87.6,6.0,6.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,42.0,3.0,16.0,15.8
Che Adams,sct SCO,"FW,MF",Southampton,25-097,1996,5.0,5.0,380.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,0.6,0.6,1.1,0.14,0.25,0.39,0.14,0.39,/en/players/f2bf1b0f/matchlogs/2021-2022/summary/Che-Adams-Match-Logs,4.2,7.0,3.0,0.0,42.9,1.66,0.71,0.0,0.0,0.08,-0.6,-0.6,54.0,81.0,66.7,824.0,129.0,29.0,38.0,76.3,17.0,27.0,63.0,4.0,8.0,50.0,-0.1,6.0,2.0,2.0,1.0,4.0,77.0,4.0,0.0,1.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,51.0,14.0,16.0,5.0,59.0,5.0,0.0,1.0,0.0,3.0,7.0,1.0,13.0,3.08,8.0,0.0,0.0,0.0,4.0,2.0,0.47,1.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,2.0,1.0,4.0,1.0,2.0,50.0,1.0,74.0,22.0,29.7,6.0,27.0,41.0,4.0,2.0,0.0,2.0,1.0,5.0,0.0,139.0,7.0,16.0,61.0,67.0,16.0,135.0,1.0,4.0,25.0,1.0,0.0,86.0,262.0,132.0,7.0,3.0,2.0,207.0,88.0,42.5,10.0,11.0,0.0,12.0,11.0,2.0,0.0,0.0,0.0,26.0,12.0,24.0,33.3
Rayan Aït Nouri,fr FRA,FW,Wolves,20-134,2001,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,/en/players/9b398aea/matchlogs/2021-2022/summary/Rayan-Ait-Nouri-Match-Logs,0.1,1.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.03,0.0,0.0,2.0,3.0,66.7,30.0,12.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,1.0,100.0,1.0,0.0,5.0,103.0,85.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Kristoffer Ajer,no NOR,DF,Brentford,23-184,1998,6.0,6.0,520.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.01,0.05,0.06,0.01,0.06,/en/players/a8c0acb7/matchlogs/2021-2022/summary/Kristoffer-Ajer-Match-Logs,5.8,1.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.08,-0.1,-0.1,122.0,190.0,64.2,2127.0,964.0,52.0,60.0,86.7,56.0,81.0,69.1,10.0,33.0,30.3,-0.3,1.0,6.0,2.0,1.0,9.0,146.0,44.0,6.0,0.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,82.0,53.0,55.0,9.0,117.0,15.0,38.0,1.0,0.0,5.0,6.0,12.0,6.0,1.04,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,7.0,0.0,2.0,5.0,12.0,41.7,7.0,52.0,15.0,28.8,27.0,22.0,3.0,9.0,4.0,1.0,5.0,12.0,31.0,0.0,259.0,30.0,119.0,116.0,34.0,6.0,218.0,5.0,6.0,83.3,5.0,0.0,111.0,623.0,331.0,10.0,3.0,0.0,111.0,92.0,82.9,4.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,49.0,16.0,8.0,66.7
Nathan Aké,nl NED,DF,Manchester City,26-242,1995,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.07,0.0,0.07,0.07,0.07,/en/players/eaeca114/matchlogs/2021-2022/summary/Nathan-Ake-Match-Logs,3.0,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.2,-0.2,-0.2,197.0,214.0,92.1,3463.0,855.0,88.0,94.0,93.6,92.0,98.0,93.9,15.0,20.0,75.0,0.0,0.0,11.0,3.0,0.0,8.0,208.0,6.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,187.0,9.0,18.0,163.0,36.0,6.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,14.0,4.0,28.6,4.0,9.0,1.0,3.0,3.0,0.0,0.0,3.0,17.0,0.0,243.0,13.0,83.0,141.0,38.0,2.0,237.0,0.0,0.0,0.0,0.0,0.0,178.0,987.0,633.0,18.0,1.0,0.0,200.0,191.0,95.5,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,100.0
Marc Albrighton,eng ENG,"MF,FW",Leicester City,31-334,1989,3.0,2.0,191.0,1.0,0.0,0.0,0.0,1.0,0.0,0.47,0.0,0.47,0.47,0.47,0.0,0.0,0.2,0.02,0.1,0.12,0.02,0.12,/en/players/b827d5b3/matchlogs/2021-2022/summary/Marc-Albrighton-Match-Logs,2.1,1.0,1.0,0.0,100.0,0.47,0.47,1.0,1.0,0.04,1.0,1.0,30.0,64.0,46.9,658.0,282.0,12.0,14.0,85.7,12.0,20.0,60.0,5.0,24.0,20.8,-0.2,2.0,3.0,1.0,1.0,2.0,47.0,17.0,2.0,0.0,12.0,9.0,4.0,14.0,9.0,4.0,1.0,26.0,13.0,25.0,2.0,59.0,2.0,0.0,0.0,0.0,3.0,3.0,7.0,3.0,1.41,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,68.0,12.0,17.6,22.0,36.0,10.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,87.0,5.0,18.0,35.0,38.0,2.0,70.0,3.0,7.0,42.9,4.0,1.0,54.0,266.0,104.0,6.0,1.0,2.0,82.0,48.0,58.5,4.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
Thiago Alcántara,es ESP,MF,Liverpool,30-190,1991,4.0,2.0,177.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,0.4,0.4,0.4,0.21,0.21,0.42,0.21,0.42,/en/players/77e84962/matchlogs/2021-2022/summary/Thiago-Alcantara-Match-Logs,2.0,5.0,1.0,0.0,20.0,2.54,0.51,0.0,0.0,0.08,-0.4,-0.4,130.0,145.0,89.7,2827.0,725.0,42.0,47.0,89.4,61.0,64.0,95.3,24.0,29.0,82.8,0.6,4.0,20.0,3.0,0.0,20.0,142.0,3.0,1.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,104.0,18.0,23.0,11.0,125.0,4.0,0.0,0.0,0.0,2.0,6.0,2.0,11.0,5.59,9.0,0.0,0.0,2.0,0.0,1.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,2.0,1.0,1.0,3.0,33.3,2.0,21.0,10.0,47.6,11.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,164.0,4.0,30.0,102.0,42.0,4.0,161.0,0.0,0.0,0.0,0.0,0.0,115.0,564.0,316.0,19.0,4.0,1.0,124.0,117.0,94.4,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,0.0,100.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-011,1998,6.0,6.0,514.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,0.7,0.7,2.5,0.11,0.43,0.55,0.11,0.55,/en/players/cd1acf9d/matchlogs/2021-2022/summary/Trent-Alexander-Arnold-Match-Logs,5.7,13.0,3.0,3.0,23.1,2.28,0.53,0.0,0.0,0.05,-0.7,-0.7,369.0,483.0,76.4,8072.0,3307.0,142.0,157.0,90.4,139.0,164.0,84.8,84.0,153.0,54.9,-0.5,22.0,42.0,19.0,4.0,59.0,385.0,98.0,13.0,5.0,49.0,43.0,28.0,35.0,5.0,25.0,1.0,243.0,78.0,162.0,42.0,377.0,10.0,50.0,0.0,2.0,9.0,17.0,7.0,35.0,6.13,21.0,12.0,1.0,1.0,0.0,4.0,0.7,4.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,4.0,5.0,2.0,6.0,14.0,42.9,8.0,61.0,19.0,31.1,26.0,19.0,16.0,9.0,2.0,0.0,7.0,16.0,13.0,0.0,551.0,18.0,115.0,242.0,222.0,13.0,452.0,4.0,10.0,40.0,4.0,0.0,323.0,1385.0,793.0,39.0,13.0,3.0,360.0,337.0,93.6,2.0,7.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,54.0,8.0,3.0,72.7
Alisson,br BRA,GK,Liverpool,29-016,1992,7.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/players/7a2e46a8/matchlogs/2021-2022/summary/Alisson-Match-Logs,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,252.0,86.5,6133.0,3571.0,37.0,37.0,100.0,113.0,114.0,99.1,67.0,100.0,67.0,0.0,0.0,4.0,0.0,0.0,0.0,197.0,55.0,12.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,175.0,10.0,67.0,13.0,199.0,0.0,0.0,33.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,281.0,230.0,277.0,4.0,0.0,0.0,226.0,1.0,1.0,100.0,1.0,0.0,144.0,482.0,263.0,0.0,0.0,0.0,143.0,143.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0
Allan,br BRA,MF,Everton,30-283,1991,8.0,8.0,701.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.2,0.0,0.03,0.03,0.0,0.03,/en/players/cc700722/matchlogs/2021-2022/summary/Allan-Match-Logs,7.8,1.0,1.0,0.0,100.0,0.13,0.13,0.0,0.0,0.02,0.0,0.0,200.0,262.0,76.3,3920.0,1180.0,72.0,88.0,81.8,91.0,110.0,82.7,30.0,45.0,66.7,0.8,4.0,23.0,5.0,2.0,26.0,247.0,15.0,8.0,0.0,40.0,5.0,3.0,0.0,0.0,0.0,0.0,179.0,30.0,53.0,33.0,222.0,6.0,0.0,1.0,0.0,8.0,15.0,10.0,9.0,1.16,8.0,0.0,0.0,0.0,1.0,4.0,0.51,3.0,0.0,0.0,0.0,1.0,0.0,24.0,21.0,16.0,6.0,2.0,7.0,26.0,26.9,19.0,203.0,67.0,33.0,92.0,95.0,16.0,16.0,4.0,0.0,12.0,12.0,20.0,0.0,350.0,31.0,125.0,187.0,60.0,2.0,335.0,4.0,7.0,57.1,4.0,0.0,206.0,1110.0,578.0,22.0,10.0,1.0,179.0,165.0,92.2,3.0,10.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0,83.0,1.0,3.0,25.0
