squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,23.0,54.0,8.0,88.0,720.0,13.0,8.0,2.0,3.0,22.0,0.0,1.62,1.0,2.62,1.37,2.37,16.2,14.1,11.2,2.03,1.4,3.43,1.76,3.15,8.0,8.0,720.0,10.0,1.25,27.0,19.0,70.4,4.0,2.0,2.0,2.0,25.0,3.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,9.5,0.3,-0.5,-0.07,50.0,101.0,49.5,198.0,41.0,31.8,33.5,52.0,73.1,54.5,74.0,9.0,12.2,7.0,0.88,15.1,123.0,34.0,6.0,27.6,15.37,4.25,0.09,0.32,0.12,-3.2,-3.1,3304.0,4084.0,80.9,64837.0,21921.0,1333.0,1528.0,87.2,1444.0,1682.0,85.9,476.0,747.0,63.7,-3.2,95.0,240.0,84.0,16.0,324.0,3681.0,403.0,126.0,6.0,606.0,148.0,75.0,49.0,24.0,18.0,5.0,2719.0,627.0,738.0,1488.0,2142.0,136.0,158.0,49.0,11.0,77.0,111.0,97.0,204.0,25.5,145.0,20.0,7.0,17.0,9.0,21.0,2.62,16.0,0.0,1.0,2.0,1.0,1.0,124.0,65.0,60.0,49.0,15.0,44.0,112.0,39.3,68.0,1232.0,417.0,33.8,400.0,525.0,307.0,141.0,34.0,1.0,107.0,113.0,158.0,1.0,5093.0,490.0,1617.0,2286.0,1472.0,252.0,4699.0,47.0,101.0,46.5,51.0,2.0,3190.0,15501.0,8066.0,313.0,101.0,38.0,3815.0,3304.0,86.6,111.0,99.0,0.0,106.0,112.0,12.0,2.0,3.0,0.0,698.0,157.0,110.0,58.8
Bologna,23.0,54.4,8.0,88.0,720.0,13.0,11.0,1.0,2.0,29.0,2.0,1.62,1.37,3.0,1.5,2.87,10.3,8.8,6.4,1.29,0.79,2.09,1.1,1.9,8.0,8.0,720.0,15.0,1.87,34.0,23.0,64.7,3.0,3.0,2.0,3.0,37.5,3.0,3.0,0.0,0.0,8.0,0.0,2.0,1.0,13.5,0.33,-0.5,-0.06,44.0,98.0,44.9,190.0,33.0,42.6,37.5,50.0,34.0,34.1,59.0,3.0,5.1,1.0,0.13,12.2,116.0,38.0,4.0,32.8,14.5,4.75,0.1,0.32,0.08,2.7,3.2,3251.0,3968.0,81.9,62672.0,20830.0,1360.0,1531.0,88.8,1306.0,1505.0,86.8,509.0,776.0,65.6,4.6,87.0,213.0,75.0,32.0,234.0,3567.0,401.0,127.0,2.0,614.0,124.0,95.0,48.0,26.0,8.0,0.0,2604.0,579.0,785.0,963.0,2540.0,172.0,150.0,53.0,2.0,53.0,93.0,85.0,189.0,23.63,136.0,20.0,5.0,16.0,9.0,24.0,3.0,15.0,4.0,0.0,3.0,1.0,1.0,126.0,65.0,62.0,53.0,11.0,49.0,124.0,39.5,75.0,1104.0,305.0,27.6,423.0,447.0,234.0,119.0,31.0,0.0,88.0,81.0,159.0,4.0,4851.0,509.0,1512.0,2450.0,1192.0,172.0,4464.0,70.0,123.0,56.9,76.0,3.0,3094.0,16010.0,8130.0,328.0,114.0,16.0,3794.0,3251.0,85.7,90.0,70.0,2.0,103.0,116.0,2.0,2.0,2.0,1.0,604.0,143.0,118.0,54.8
Cagliari,24.0,43.1,8.0,88.0,720.0,11.0,8.0,2.0,2.0,21.0,1.0,1.37,1.0,2.37,1.13,2.12,9.0,7.5,5.9,1.13,0.74,1.87,0.94,1.68,8.0,8.0,720.0,17.0,2.12,39.0,23.0,61.5,1.0,3.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,3.0,0.0,15.7,0.35,-1.3,-0.17,69.0,166.0,41.6,210.0,26.0,55.2,43.2,70.0,71.4,51.8,92.0,7.0,7.6,5.0,0.63,14.7,86.0,23.0,2.0,26.7,10.75,2.87,0.1,0.39,0.09,2.0,1.5,2612.0,3365.0,77.6,54058.0,19159.0,950.0,1091.0,87.1,1174.0,1358.0,86.5,448.0,789.0,56.8,2.1,64.0,176.0,52.0,17.0,194.0,2950.0,415.0,120.0,3.0,422.0,92.0,91.0,35.0,13.0,16.0,1.0,2099.0,451.0,815.0,1034.0,1893.0,122.0,161.0,50.0,10.0,71.0,94.0,84.0,135.0,16.88,99.0,13.0,5.0,7.0,6.0,19.0,2.37,14.0,1.0,1.0,1.0,2.0,0.0,109.0,71.0,56.0,39.0,14.0,35.0,107.0,32.7,72.0,1200.0,313.0,26.1,504.0,467.0,229.0,133.0,42.0,0.0,91.0,112.0,185.0,1.0,4233.0,605.0,1637.0,1875.0,936.0,148.0,3838.0,48.0,88.0,54.5,49.0,1.0,2487.0,13119.0,6855.0,219.0,72.0,19.0,3152.0,2612.0,82.9,95.0,53.0,1.0,108.0,100.0,13.0,2.0,2.0,0.0,565.0,144.0,149.0,49.1
Empoli,24.0,47.8,8.0,88.0,720.0,9.0,5.0,2.0,2.0,18.0,0.0,1.13,0.62,1.75,0.87,1.5,9.9,8.4,6.3,1.24,0.78,2.02,1.05,1.83,8.0,8.0,720.0,16.0,2.0,37.0,22.0,59.5,3.0,0.0,5.0,2.0,25.0,3.0,1.0,0.0,2.0,8.0,0.0,2.0,1.0,12.9,0.33,-2.1,-0.26,25.0,80.0,31.3,184.0,39.0,28.3,30.9,69.0,40.6,38.4,79.0,6.0,7.6,6.0,0.75,14.0,121.0,34.0,5.0,28.1,15.12,4.25,0.06,0.21,0.07,-0.9,-1.4,2820.0,3580.0,78.8,55847.0,19501.0,1046.0,1184.0,88.3,1302.0,1503.0,86.6,426.0,745.0,57.2,-1.3,82.0,218.0,94.0,20.0,291.0,3125.0,455.0,119.0,2.0,549.0,85.0,123.0,46.0,7.0,25.0,4.0,2425.0,493.0,662.0,868.0,2318.0,95.0,197.0,48.0,27.0,60.0,112.0,106.0,179.0,22.37,138.0,16.0,7.0,7.0,7.0,16.0,2.0,10.0,2.0,0.0,2.0,2.0,0.0,134.0,89.0,61.0,50.0,23.0,47.0,120.0,39.2,73.0,1210.0,321.0,26.5,402.0,507.0,301.0,112.0,38.0,1.0,74.0,120.0,168.0,0.0,4509.0,581.0,1414.0,1988.0,1412.0,237.0,4076.0,62.0,120.0,51.7,69.0,4.0,2807.0,16163.0,8620.0,329.0,101.0,37.0,3411.0,2820.0,82.7,86.0,96.0,0.0,94.0,111.0,32.0,2.0,3.0,1.0,592.0,84.0,123.0,40.6
Fiorentina,24.0,55.4,7.0,77.0,630.0,10.0,6.0,3.0,3.0,22.0,2.0,1.43,0.86,2.29,1.0,1.86,7.9,5.8,4.8,1.12,0.69,1.82,0.83,1.52,7.0,7.0,628.0,11.0,1.58,27.0,18.0,66.7,4.0,0.0,3.0,1.0,14.3,3.0,2.0,1.0,0.0,7.0,0.0,1.0,0.0,11.3,0.32,0.3,0.04,61.0,127.0,48.0,319.0,27.0,34.5,35.3,44.0,38.6,39.8,42.0,4.0,9.5,11.0,1.58,16.4,72.0,30.0,1.0,41.7,10.29,4.29,0.1,0.23,0.08,2.1,1.2,3161.0,3735.0,84.6,67515.0,20288.0,1036.0,1156.0,89.6,1490.0,1665.0,89.5,596.0,809.0,73.7,1.2,58.0,222.0,56.0,13.0,229.0,3407.0,328.0,115.0,3.0,432.0,132.0,75.0,34.0,9.0,15.0,2.0,2666.0,475.0,594.0,1344.0,2055.0,107.0,118.0,43.0,8.0,55.0,94.0,73.0,115.0,16.43,88.0,12.0,3.0,2.0,7.0,18.0,2.57,13.0,2.0,0.0,0.0,2.0,1.0,109.0,61.0,53.0,41.0,15.0,51.0,121.0,42.1,70.0,890.0,244.0,27.4,293.0,387.0,210.0,83.0,17.0,0.0,66.0,96.0,92.0,3.0,4449.0,511.0,1551.0,2160.0,1036.0,149.0,4129.0,36.0,83.0,43.4,42.0,7.0,3052.0,15659.0,8067.0,294.0,109.0,29.0,3569.0,3161.0,88.6,99.0,56.0,1.0,101.0,102.0,9.0,2.0,3.0,0.0,458.0,88.0,98.0,47.3
Genoa,29.0,43.0,8.0,88.0,720.0,12.0,9.0,3.0,3.0,23.0,0.0,1.5,1.13,2.62,1.13,2.25,9.6,7.3,5.5,1.19,0.69,1.89,0.91,1.6,8.0,8.0,720.0,18.0,2.25,42.0,26.0,64.3,1.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,3.0,0.0,15.0,0.3,-3.0,-0.38,49.0,113.0,43.4,221.0,31.0,45.7,37.9,39.0,30.8,29.8,60.0,4.0,6.7,2.0,0.25,12.1,91.0,27.0,3.0,29.7,11.37,3.38,0.1,0.33,0.08,2.4,1.7,2621.0,3339.0,78.5,52337.0,17659.0,1012.0,1161.0,87.2,1156.0,1343.0,86.1,411.0,724.0,56.8,3.5,59.0,159.0,43.0,15.0,207.0,2952.0,387.0,126.0,6.0,549.0,100.0,90.0,32.0,16.0,13.0,0.0,2165.0,473.0,701.0,972.0,1979.0,114.0,150.0,59.0,18.0,64.0,91.0,77.0,145.0,18.12,93.0,14.0,11.0,11.0,10.0,23.0,2.87,15.0,3.0,1.0,0.0,3.0,1.0,145.0,85.0,72.0,57.0,16.0,53.0,120.0,44.2,67.0,1311.0,365.0,27.8,450.0,587.0,274.0,143.0,28.0,0.0,115.0,150.0,154.0,2.0,4312.0,571.0,1612.0,1980.0,973.0,154.0,3931.0,68.0,123.0,55.3,75.0,7.0,2594.0,12962.0,6796.0,255.0,89.0,29.0,3130.0,2621.0,83.7,96.0,78.0,0.0,107.0,119.0,18.0,2.0,3.0,0.0,575.0,97.0,144.0,40.2
Hellas Verona,24.0,47.9,8.0,88.0,720.0,17.0,12.0,3.0,3.0,21.0,1.0,2.12,1.5,3.62,1.75,3.25,10.2,8.0,6.4,1.28,0.81,2.09,1.0,1.8,8.0,8.0,720.0,17.0,2.12,36.0,23.0,58.3,2.0,2.0,4.0,1.0,12.5,2.0,2.0,0.0,0.0,8.0,0.0,1.0,2.0,13.8,0.33,-1.2,-0.15,55.0,150.0,36.7,188.0,42.0,59.0,44.4,61.0,63.9,45.9,72.0,4.0,5.6,4.0,0.5,14.1,73.0,29.0,3.0,39.7,9.12,3.62,0.19,0.48,0.11,6.8,6.0,2626.0,3390.0,77.5,49792.0,18866.0,1128.0,1292.0,87.3,1076.0,1281.0,84.0,358.0,658.0,54.4,5.6,56.0,181.0,67.0,16.0,250.0,3030.0,360.0,96.0,0.0,505.0,64.0,76.0,30.0,9.0,9.0,5.0,2165.0,473.0,752.0,1013.0,1903.0,175.0,143.0,62.0,10.0,67.0,97.0,98.0,127.0,15.87,95.0,13.0,6.0,1.0,8.0,30.0,3.75,23.0,1.0,1.0,0.0,3.0,2.0,128.0,83.0,60.0,45.0,23.0,47.0,123.0,38.2,76.0,1048.0,305.0,29.1,398.0,438.0,212.0,119.0,30.0,1.0,89.0,88.0,218.0,2.0,4328.0,526.0,1385.0,2035.0,1146.0,173.0,3974.0,57.0,112.0,50.9,65.0,2.0,2608.0,12981.0,7046.0,279.0,98.0,30.0,3196.0,2626.0,82.2,93.0,103.0,1.0,124.0,93.0,10.0,3.0,2.0,2.0,637.0,146.0,145.0,50.2
Inter,23.0,49.8,8.0,88.0,720.0,23.0,17.0,2.0,3.0,21.0,0.0,2.87,2.12,5.0,2.62,4.75,17.0,14.7,10.9,2.12,1.36,3.48,1.84,3.2,8.0,8.0,720.0,11.0,1.37,34.0,25.0,73.5,5.0,2.0,1.0,1.0,12.5,2.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,9.7,0.24,-1.3,-0.16,45.0,85.0,52.9,220.0,38.0,32.7,31.1,39.0,33.3,31.4,68.0,3.0,4.4,2.0,0.25,11.5,120.0,46.0,3.0,38.3,15.0,5.75,0.18,0.46,0.12,6.0,6.3,3236.0,3896.0,83.1,63815.0,21297.0,1274.0,1434.0,88.8,1408.0,1604.0,87.8,486.0,701.0,69.3,6.1,91.0,223.0,80.0,19.0,281.0,3549.0,347.0,87.0,3.0,494.0,133.0,97.0,44.0,20.0,19.0,1.0,2733.0,516.0,647.0,931.0,2565.0,129.0,136.0,69.0,9.0,42.0,123.0,83.0,196.0,24.5,153.0,15.0,9.0,10.0,5.0,40.0,5.0,31.0,3.0,1.0,2.0,3.0,0.0,121.0,76.0,61.0,44.0,16.0,50.0,109.0,45.9,59.0,988.0,272.0,27.5,311.0,430.0,247.0,102.0,27.0,1.0,75.0,80.0,143.0,3.0,4707.0,585.0,1644.0,2192.0,1192.0,230.0,4368.0,52.0,99.0,52.5,56.0,2.0,2996.0,16667.0,8876.0,321.0,118.0,34.0,3693.0,3236.0,87.6,84.0,52.0,0.0,112.0,83.0,9.0,2.0,2.0,0.0,584.0,116.0,100.0,53.7
Juventus,24.0,50.1,8.0,88.0,720.0,12.0,8.0,1.0,1.0,16.0,0.0,1.5,1.0,2.5,1.37,2.37,10.6,9.9,7.5,1.33,0.94,2.27,1.23,2.17,8.0,8.0,720.0,10.0,1.25,29.0,20.0,69.0,4.0,2.0,2.0,2.0,25.0,2.0,1.0,1.0,0.0,8.0,0.0,4.0,0.0,10.8,0.32,0.8,0.1,39.0,85.0,45.9,170.0,34.0,40.6,37.1,58.0,27.6,29.1,82.0,7.0,8.5,3.0,0.38,12.9,104.0,37.0,3.0,35.6,13.0,4.62,0.11,0.3,0.1,1.4,1.1,3121.0,3773.0,82.7,65328.0,21129.0,1117.0,1272.0,87.8,1377.0,1529.0,90.1,576.0,844.0,68.2,0.5,83.0,240.0,55.0,19.0,226.0,3399.0,374.0,121.0,4.0,479.0,167.0,84.0,41.0,18.0,15.0,0.0,2567.0,542.0,664.0,1292.0,2114.0,106.0,132.0,59.0,10.0,66.0,99.0,80.0,176.0,22.0,136.0,9.0,9.0,10.0,7.0,18.0,2.25,12.0,0.0,3.0,3.0,0.0,0.0,124.0,76.0,68.0,43.0,13.0,35.0,94.0,37.2,59.0,1015.0,310.0,30.5,424.0,401.0,190.0,119.0,35.0,1.0,84.0,94.0,187.0,4.0,4717.0,572.0,1713.0,2213.0,1094.0,180.0,4358.0,53.0,103.0,51.5,60.0,5.0,2909.0,15031.0,7834.0,296.0,91.0,36.0,3583.0,3121.0,87.1,108.0,91.0,0.0,117.0,109.0,13.0,0.0,2.0,0.0,598.0,119.0,107.0,52.7
Lazio,22.0,57.0,8.0,88.0,720.0,18.0,13.0,3.0,4.0,19.0,2.0,2.25,1.62,3.87,1.87,3.5,13.2,10.2,8.2,1.64,1.02,2.67,1.27,2.3,8.0,8.0,720.0,13.0,1.62,30.0,18.0,63.3,4.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,0.0,2.0,0.0,12.6,0.36,-0.4,-0.05,49.0,88.0,55.7,211.0,40.0,32.7,32.4,56.0,33.9,31.1,70.0,2.0,2.9,6.0,0.75,14.9,101.0,43.0,3.0,42.6,12.62,5.37,0.15,0.35,0.1,4.8,4.8,4192.0,4859.0,86.3,74011.0,23181.0,1960.0,2136.0,91.8,1669.0,1860.0,89.7,460.0,680.0,67.6,4.8,79.0,288.0,67.0,10.0,267.0,4512.0,347.0,99.0,12.0,530.0,102.0,86.0,34.0,19.0,6.0,4.0,3667.0,579.0,613.0,1105.0,3342.0,145.0,131.0,53.0,8.0,54.0,108.0,66.0,179.0,22.37,130.0,13.0,10.0,11.0,10.0,32.0,4.0,19.0,2.0,3.0,4.0,3.0,1.0,140.0,80.0,68.0,47.0,25.0,52.0,141.0,36.9,89.0,1084.0,286.0,26.4,359.0,457.0,268.0,111.0,35.0,1.0,76.0,87.0,152.0,0.0,5728.0,546.0,1759.0,2912.0,1415.0,176.0,5381.0,70.0,111.0,63.1,73.0,6.0,4074.0,18857.0,10313.0,401.0,137.0,32.0,4642.0,4192.0,90.3,90.0,93.0,0.0,93.0,89.0,9.0,3.0,3.0,0.0,576.0,121.0,94.0,56.3
